p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,1.305,0.044552213742679876,0.7825,0.02062727260206739,10,3,1.81,400
10,FALSE,0.81,0.04544130588684435,0.53,0.02495495942693556,10,3,1.81,400
30,TRUE,0.7575,0.03921835761393938,0.57,0.024753787588973127,10,3,1.81,400
30,FALSE,1.01,0.05652643713553947,0.575,0.024717149916606486,10,3,1.81,400
100,TRUE,0.395,0.029785153826548855,0.34,0.02368543856465402,10,3,1.81,400
100,FALSE,1.0525,0.05880479900454479,0.575,0.024717149916606486,10,3,1.81,400
300,TRUE,0.1525,0.018681055365635392,0.1475,0.017730182599172518,10,3,1.81,400
300,FALSE,1.05,0.059287752478778974,0.5875,0.02461421083439402,10,3,1.81,400
1000,TRUE,0.0525,0.01116561922293515,0.0525,0.01115165346484547,10,3,1.81,400
1000,FALSE,1.1075,0.06481018651176082,0.575,0.024717149916606486,10,3,1.81,400
3000,TRUE,0.0125,0.005562078459710898,0.0125,0.0055551215108222435,10,3,1.81,400
3000,FALSE,1.2375,0.06875355994428603,0.62,0.024269322199023193,10,3,1.81,400
6000,TRUE,0.0125,0.005562078459710898,0.0125,0.0055551215108222435,10,3,1.81,400
6000,FALSE,1.275,0.0673407338547051,0.6625,0.023642850399222173,10,3,1.81,400
