p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.7275,0.02229016607742972,0.7275,0.02226228593383887,30,1,1.19,400
10,FALSE,1.685,0.09170858007377428,0.64,0.024,30,1,1.19,400
30,TRUE,0.5825,0.024688218756390844,0.5825,0.024657339171127123,30,1,1.19,400
30,FALSE,2.26,0.137898658805119,0.63,0.024140215409146622,30,1,1.19,400
100,TRUE,0.4375,0.02483498169496957,0.4375,0.024803918541230537,30,1,1.19,400
100,FALSE,2.52,0.15683747953683988,0.6325,0.024106210299422844,30,1,1.19,400
300,TRUE,0.3425,0.023757006617175516,0.3425,0.023727291775506112,30,1,1.19,400
300,FALSE,2.735,0.18580432076255676,0.5875,0.02461421083439402,30,1,1.19,400
1000,TRUE,0.1725,0.018914379699014616,0.1725,0.018890721929031722,30,1,1.19,400
1000,FALSE,2.705,0.18720323214440845,0.605,0.024442534647617867,30,1,1.19,400
3000,TRUE,0.08,0.01358164764975905,0.08,0.013564659966250536,30,1,1.19,400
3000,FALSE,2.665,0.19156900639332636,0.5975,0.024520081056146614,30,1,1.19,400
6000,TRUE,0.0675,0.012560006345479935,0.0675,0.0125442965127583,30,1,1.19,400
6000,FALSE,2.49,0.180676118092909,0.6275,0.02417352632530058,30,1,1.19,400
