p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.46,0.02495107995613504,0.46,0.024919871588754226,10,1,1.81,400
10,FALSE,0.975,0.05550802059952411,0.545,0.024898544134145675,10,1,1.81,400
30,TRUE,0.2475,0.021605006729678973,0.2475,0.021577983571223702,10,1,1.81,400
30,FALSE,1.0825,0.06224081597257808,0.575,0.024717149916606486,10,1,1.81,400
100,TRUE,0.1125,0.015818816719527888,0.1125,0.015799030824705674,10,1,1.81,400
100,FALSE,1.1025,0.06236752878394767,0.5925,0.024568463016639848,10,1,1.81,400
300,TRUE,0.055,0.011413288653790233,0.055,0.011399013115177999,10,1,1.81,400
300,FALSE,1.065,0.05998694511274849,0.59,0.024591665254715876,10,1,1.81,400
1000,TRUE,0.02,0.007008766440504624,0.02,0.007,10,1,1.81,400
1000,FALSE,1.155,0.06615041339993619,0.5925,0.024568463016639848,10,1,1.81,400
3000,TRUE,0.0025,0.0025,0.0025,0.0024968730444297725,10,1,1.81,400
3000,FALSE,1.215,0.06667496815481891,0.62,0.024269322199023193,10,1,1.81,400
6000,TRUE,0.0075,0.0043192609365022144,0.0075,0.00431385848168435,10,1,1.81,400
6000,FALSE,1.27,0.06692493831466005,0.6625,0.023642850399222173,10,1,1.81,400
