p,test_auc,pop_lim_auc,pop_full_auc,test_se,pop_lim_se,pop_full_se,auc_sd,auc_sd_se,bias_l,bias_l_se,bias_f,bias_f_se,n,sig_p,d,nsims
10,0.6271875,0.6295935767499989,0.6946703568499977,0.014107471255417503,0.008440542700060363,0.00912009010703747,0.28214942510835006,0.00998798137970425,-0.0024060767499989658,0.010482856085208892,-0.06748285684999768,0.013948376015828915,10,1,1.81,400
30,0.5665625,0.5698920317500005,0.6178448653000009,0.014137626531502223,0.006886241217343113,0.008292517401467438,0.28275253063004446,0.010009331083742695,-0.003329531750000429,0.012410616518338687,-0.05128236530000095,0.014605448245163247,10,1,1.81,400
100,0.5415625,0.5300516228500001,0.5587580443000003,0.01212137045836184,0.004645983581161197,0.0064733090802823355,0.2424274091672368,0.008581837257908507,0.011510877149999892,0.011245592666820138,-0.017195544300000302,0.013144378030558828,10,1,1.81,400
300,0.5078125,0.5085431673,0.5331650355000003,0.011953258733301062,0.002514894177974839,0.005071972613266204,0.23906517466602123,0.008462815446754916,-7.306673000000815e-4,0.011733819125119895,-0.025352535500000318,0.01280610694338664,10,1,1.81,400
1000,0.5284375,0.5049140979500001,0.5139012749000003,0.010948057024692318,0.002111960733707666,0.003221989722683407,0.21896114049384635,0.007751140351576146,0.023523402049999934,0.010761260978988782,0.014536225099999698,0.011184308791594039,10,1,1.81,400
3000,0.4921875,0.50062436825,0.5074448106,0.012107874811067225,2.78527126159273e-4,0.0023438601286221985,0.2421574962213445,0.00857228244319755,-0.008436868249999965,0.012080775131304648,-0.015257310599999987,0.012327156363375892,10,1,1.81,400
6000,0.5021875,0.50169599405,0.5041292056,0.012659065851394796,0.0011219650707669567,0.0015637238105352144,0.2531813170278959,0.008962521469581352,4.915059500000121e-4,0.012534799408178665,-0.0019417056000000088,0.012712226585369104,10,1,1.81,400
