p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
30,TRUE,2.15,0.06541749476672035,0.8725,0.016676611616272652,10,10,1.81,400
30,FALSE,0.61,0.039192986943634565,0.4525,0.02488693181169587,10,10,1.81,400
100,TRUE,1.0175,0.051107870343300055,0.625,0.024206145913796356,10,10,1.81,400
100,FALSE,0.925,0.0551683456876748,0.5325,0.024947131598642758,10,10,1.81,400
300,TRUE,0.54,0.03604508455116664,0.415,0.024636101558485262,10,10,1.81,400
300,FALSE,1.0975,0.05812426731691178,0.615,0.02432976572020372,10,10,1.81,400
1000,TRUE,0.1425,0.01920694253659364,0.13,0.016815171720800236,10,10,1.81,400
1000,FALSE,1.135,0.060837410169980746,0.615,0.02432976572020372,10,10,1.81,400
3000,TRUE,0.07,0.012773327473170101,0.07,0.012757350822173075,10,10,1.81,400
3000,FALSE,1.3125,0.06565352494989027,0.69,0.023124662159694356,10,10,1.81,400
6000,TRUE,0.045,0.01096531327587567,0.0425,0.010086345968684596,10,10,1.81,400
6000,FALSE,1.275,0.07043322794674041,0.6475,0.023887431318582585,10,10,1.81,400
