p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.5475,0.035141809029340484,0.435,0.024787849846245234,10,3,0.74,400
10,FALSE,0.755,0.04656025282209218,0.4875,0.024992186278915255,10,3,0.74,400
30,TRUE,0.2175,0.023757006617175516,0.1925,0.019713177699194007,10,3,0.74,400
30,FALSE,0.9925,0.058968658044582865,0.5525,0.02486180554585688,10,3,0.74,400
100,TRUE,0.105,0.01652635170725468,0.0975,0.014831870246196196,10,3,0.74,400
100,FALSE,1.065,0.058933185055212146,0.6025,0.02446904932767107,10,3,0.74,400
300,TRUE,0.0175,0.006564457728034959,0.0175,0.006556247020971678,10,3,0.74,400
300,FALSE,1.07,0.06152001121138244,0.585,0.024636101558485266,10,3,0.74,400
1000,TRUE,0.01,0.004981167541368988,0.01,0.0049749371855331,10,3,0.74,400
1000,FALSE,1.15,0.0652256541930572,0.6025,0.02446904932767107,10,3,0.74,400
3000,TRUE,0,0,0,0,10,3,0.74,400
3000,FALSE,1.215,0.06695629442710013,0.62,0.024269322199023193,10,3,0.74,400
6000,TRUE,0,0,0,0,10,3,0.74,400
6000,FALSE,1.2475,0.06529754051258349,0.66,0.02368543856465402,10,3,0.74,400
