p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.46,0.02495107995613504,0.46,0.024919871588754226,30,1,0.74,400
10,FALSE,1.5025,0.09224291986740316,0.6,0.02449489742783178,30,1,0.74,400
30,TRUE,0.2925,0.022774020616430336,0.2925,0.022745535276181124,30,1,0.74,400
30,FALSE,1.8425,0.1321472345681514,0.575,0.024717149916606486,30,1,0.74,400
100,TRUE,0.1625,0.018468543329993016,0.1625,0.018445443204217135,30,1,0.74,400
100,FALSE,2.045,0.14290202928908094,0.595,0.024544602257930356,30,1,0.74,400
300,TRUE,0.1,0.015018785229652765,0.1,0.015000000000000001,30,1,0.74,400
300,FALSE,2.395,0.17670738879043182,0.5825,0.024657339171127123,30,1,0.74,400
1000,TRUE,0.0375,0.009511073878158527,0.0375,0.009499177595981664,30,1,0.74,400
1000,FALSE,2.525,0.18414181496892584,0.5975,0.024520081056146614,30,1,0.74,400
3000,TRUE,0.0325,0.008877296377695385,0.0325,0.008866192813152667,30,1,0.74,400
3000,FALSE,2.6625,0.19452785685534046,0.6075,0.024415351215987043,30,1,0.74,400
6000,TRUE,0.0125,0.005562078459710898,0.0125,0.0055551215108222435,30,1,0.74,400
6000,FALSE,2.4725,0.17836801070569736,0.635,0.024071508054129054,30,1,0.74,400
