p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.1425,0.017499999999999998,0.1425,0.017478111311008408,10,1,0.36,400
10,FALSE,0.96,0.05615945790140294,0.5525,0.02486180554585688,10,1,0.36,400
30,TRUE,0.0525,0.01116561922293515,0.0525,0.01115165346484547,10,1,0.36,400
30,FALSE,1.105,0.06409139385999725,0.59,0.024591665254715876,10,1,0.36,400
100,TRUE,0.02,0.007008766440504624,0.02,0.007,10,1,0.36,400
100,FALSE,1.1175,0.06138938031156198,0.6225,0.02423807696579908,10,1,0.36,400
300,TRUE,0.0025,0.0025,0.0025,0.0024968730444297725,10,1,0.36,400
300,FALSE,1.08,0.06097782990028729,0.595,0.024544602257930356,10,1,0.36,400
1000,TRUE,0.0025,0.0025,0.0025,0.0024968730444297725,10,1,0.36,400
1000,FALSE,1.15,0.066084551294531,0.595,0.024544602257930356,10,1,0.36,400
3000,TRUE,0,0,0,0,10,1,0.36,400
3000,FALSE,1.2075,0.0671556705365454,0.62,0.024269322199023193,10,1,0.36,400
6000,TRUE,0,0,0,0,10,1,0.36,400
6000,FALSE,1.2425,0.06447578764918235,0.66,0.02368543856465402,10,1,0.36,400
