p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
100,TRUE,2.5425,0.0749802605602582,0.9,0.015,10,30,1.81,400
100,FALSE,0.465,0.03445875817608049,0.3625,0.024036105653786763,10,30,1.81,400
300,TRUE,1.2975,0.06340374169678696,0.6475,0.023887431318582585,10,30,1.81,400
300,FALSE,0.835,0.04676971258237102,0.5525,0.02486180554585688,10,30,1.81,400
1000,TRUE,0.4575,0.03790218746373804,0.3275,0.023465067121148406,10,30,1.81,400
1000,FALSE,1.1025,0.05831798043575638,0.6075,0.024415351215987043,10,30,1.81,400
3000,TRUE,0.195,0.02304920094407615,0.1675,0.018671083926756905,10,30,1.81,400
3000,FALSE,1.15,0.06337421184375426,0.615,0.02432976572020372,10,30,1.81,400
6000,TRUE,0.095,0.014679107277903192,0.095,0.01466074691139575,10,30,1.81,400
6000,FALSE,1.165,0.07049369406021817,0.6,0.02449489742783178,10,30,1.81,400
