p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.275,0.022353673451850818,0.275,0.02232571387436469,10,1,1.19,400
10,FALSE,0.9525,0.055188075561759954,0.5375,0.02492958834397391,10,1,1.19,400
30,TRUE,0.1275,0.016697496548208766,0.1275,0.016676611616272652,10,1,1.19,400
30,FALSE,1.0975,0.06288776950953748,0.585,0.024636101558485266,10,1,1.19,400
100,TRUE,0.06,0.011889212903243285,0.06,0.011874342087037916,10,1,1.19,400
100,FALSE,1.0875,0.06069447192542138,0.61,0.024387496796514398,10,1,1.19,400
300,TRUE,0.02,0.007008766440504624,0.02,0.007,10,1,1.19,400
300,FALSE,1.0625,0.06056529337751747,0.5825,0.024657339171127123,10,1,1.19,400
1000,TRUE,0.01,0.004981167541368988,0.01,0.0049749371855331,10,1,1.19,400
1000,FALSE,1.165,0.06693757612689871,0.595,0.024544602257930356,10,1,1.19,400
3000,TRUE,0,0,0,0,10,1,1.19,400
3000,FALSE,1.205,0.06599868989358178,0.62,0.024269322199023193,10,1,1.19,400
6000,TRUE,0.005,0.0035311006328336203,0.005,0.0035266839949164713,10,1,1.19,400
6000,FALSE,1.2575,0.06558382017442778,0.6625,0.023642850399222173,10,1,1.19,400
