p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
100,TRUE,0.48,0.036432379770464464,0.3575,0.023963187913965036,10,30,0.36,400
100,FALSE,0.73,0.047811765416900284,0.4625,0.02492958834397391,10,30,0.36,400
300,TRUE,0.125,0.017655503164168102,0.1175,0.01610075696978251,10,30,0.36,400
300,FALSE,1.095,0.06364010258195382,0.5975,0.024520081056146614,10,30,0.36,400
1000,TRUE,0.03,0.009244655707373296,0.0275,0.008176758220713145,10,30,0.36,400
1000,FALSE,1.1375,0.06209770274910974,0.61,0.024387496796514398,10,30,0.36,400
3000,TRUE,0.0275,0.008186998372779229,0.0275,0.008176758220713145,10,30,0.36,400
3000,FALSE,1.15,0.06317616694747663,0.625,0.024206145913796356,10,30,0.36,400
6000,TRUE,0.0075,0.0043192609365022144,0.0075,0.00431385848168435,10,30,0.36,400
6000,FALSE,1.1775,0.069657122117226,0.61,0.024387496796514398,10,30,0.36,400
