p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
30,TRUE,0.5,0.03746343246326776,0.3675,0.024106210299422844,10,10,0.36,400
30,FALSE,0.7575,0.049904514087563155,0.4825,0.024984682807672385,10,10,0.36,400
100,TRUE,0.1625,0.020093375384335994,0.15,0.017853571071357127,10,10,0.36,400
100,FALSE,0.99,0.05986409001382179,0.5575,0.024834137291236836,10,10,0.36,400
300,TRUE,0.0425,0.010701433394257488,0.04,0.009797958971132711,10,10,0.36,400
300,FALSE,1.19,0.06350063643041438,0.64,0.024,10,10,0.36,400
1000,TRUE,0.015,0.006085234193354429,0.015,0.006077622890571609,10,10,0.36,400
1000,FALSE,1.1625,0.0633463991930624,0.6275,0.02417352632530058,10,10,0.36,400
3000,TRUE,0.005,0.0035311006328336203,0.005,0.0035266839949164713,10,10,0.36,400
3000,FALSE,1.3325,0.06794409743266776,0.69,0.023124662159694356,10,10,0.36,400
6000,TRUE,0,0,0,0,10,10,0.36,400
6000,FALSE,1.2575,0.07152463777974558,0.6425,0.023963187913965036,10,10,0.36,400
