p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.8675,0.042181840217210484,0.5925,0.024568463016639848,10,3,1.19,400
10,FALSE,0.8025,0.04732158816826541,0.51,0.024994999499899976,10,3,1.19,400
30,TRUE,0.3725,0.029985115355074803,0.315,0.023225793850803037,10,3,1.19,400
30,FALSE,1.0225,0.0575609897748436,0.5775,0.02469786174955233,10,3,1.19,400
100,TRUE,0.195,0.021060540494364975,0.185,0.019414878315353924,10,3,1.19,400
100,FALSE,1.045,0.0576910577590965,0.595,0.024544602257930356,10,3,1.19,400
300,TRUE,0.0625,0.012118230223898145,0.0625,0.012103072956898178,10,3,1.19,400
300,FALSE,1.05,0.06033532031234261,0.5725,0.02473579137606072,10,3,1.19,400
1000,TRUE,0.0225,0.007424431321732853,0.0225,0.007415144974981945,10,3,1.19,400
1000,FALSE,1.1425,0.06541162800064096,0.5975,0.024520081056146614,10,3,1.19,400
3000,TRUE,0,0,0,0,10,3,1.19,400
3000,FALSE,1.215,0.06667496815481891,0.62,0.024269322199023193,10,3,1.19,400
6000,TRUE,0.005,0.0035311006328336203,0.005,0.0035266839949164713,10,3,1.19,400
6000,FALSE,1.255,0.06546488852104372,0.6625,0.023642850399222173,10,3,1.19,400
