p,test_mean,pop_lim_mean,pop_full_mean,bias_l,bias_l_se,bias_f,bias_f_se,n,sig_p,d,nsims
10,0.55,0.54182245,0.5594312959999999,0.0081775500000001,0.02884156588972859,-0.009431295999999895,0.03395942105656517,10,1,1.19,20
30,0.5125,0.5659473809999994,0.530309686,-0.05344738099999945,0.07337616722759432,-0.017809685999999943,0.07513358655681865,10,1,1.19,20
100,0.5,0.524677791,0.516763476,-0.02467779100000006,0.04321256812188854,-0.016763476000000017,0.04269260395902806,10,1,1.19,20
300,0.6125,0.5006075889999999,0.514466236,0.11189241100000011,0.059686722300996704,0.09803376400000002,0.06276075085452999,10,1,1.19,20
1000,0.4875,0.49979970100000015,0.49985742600000005,-0.012299701000000126,0.06137634236016334,-0.012357426000000027,0.06121517867006132,10,1,1.19,20
3000,0.55625,0.49993079100000004,0.5005434400000001,0.05631920899999999,0.037142032852024304,0.05570655999999992,0.03672204098482278,10,1,1.19,20
6000,0.5,0.5010614449999997,0.5022109460000002,-0.0010614449999997526,0.04069037900755065,-0.0022109460000001775,0.04059483883437171,10,1,1.19,20
