p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,FALSE,0.85,0.26432635330710325,0.45,0.15732132722552272,10,1,0.74,20
30,FALSE,1.25,0.36183014334294883,0.55,0.15732132722552272,10,1,0.74,20
100,FALSE,1.15,0.32666577157056026,0.5,0.15811388300841897,10,1,0.74,20
300,FALSE,1.15,0.2835396565598986,0.65,0.15083103128998357,10,1,0.74,20
1000,FALSE,1.55,0.38026998719054167,0.7,0.14491376746189438,10,1,0.74,20
3000,FALSE,1.1,0.3620119218740556,0.6,0.15491933384829668,10,1,0.74,20
6000,FALSE,1.6,0.47239590889088157,0.55,0.15732132722552272,10,1,0.74,20
