p,test_mean,pop_lim_mean,pop_full_mean,bias_l,bias_l_se,bias_f,bias_f_se,n,sig_p,d,nsims
10,0.5875,0.6130122389999996,0.6899194799999975,-0.025512238999999548,0.03988614040876818,-0.10241947999999745,0.04274223819615486,10,1,1.81,20
30,0.50625,0.6073679149999998,0.6375530259999985,-0.10111791499999971,0.06479329085194846,-0.13130302599999855,0.08303266442676473,10,1,1.81,20
100,0.5125,0.5341459070000004,0.5586811460000007,-0.021645907000000374,0.041843132201222114,-0.04618114600000071,0.048442442765944616,10,1,1.81,20
300,0.65,0.5311590759999997,0.5697487140000003,0.1188409240000003,0.06026971863493261,0.08025128599999967,0.06686616683951661,10,1,1.81,20
1000,0.5125,0.5360971520000007,0.5150527799999999,-0.02359715200000077,0.05984609435273279,-0.0025527799999999295,0.06206642972777791,10,1,1.81,20
3000,0.56875,0.49980667700000003,0.5007665040000001,0.06894332299999997,0.0382137315714359,0.06798349599999991,0.03774942268772185,10,1,1.81,20
6000,0.5,0.5008788509999998,0.5099544099999997,-8.788509999998167e-4,0.040632962278162744,-0.009954409999999789,0.04206465336410207,10,1,1.81,20
