p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06574950218200684,0.0017270496625471728,fdr,30,3,1.3,10
100,0.016883420944213866,0.0012811485138107801,tweedie,30,3,1.3,10
100,2.2617966413497923,0.004901117455875769,lasso,30,3,1.3,10
100,0.6043904781341553,0.03168153004300294,boruta,30,3,1.3,10
100,1.0192211866378784,0.0177700417408179,svm,30,3,1.3,10
300,0.19169695377349855,0.00305499570329539,fdr,30,3,1.3,10
300,0.02248532772064209,4.0083463358887264e-4,tweedie,30,3,1.3,10
300,2.1644382238388062,0.02397498921518161,lasso,30,3,1.3,10
300,0.8101155757904053,0.04394392773928645,boruta,30,3,1.3,10
300,1.9022765636444092,0.03220740431700518,svm,30,3,1.3,10
1000,0.5941832780838012,0.003980987822736023,fdr,30,3,1.3,10
1000,0.04494719505310059,0.0012964887504321927,tweedie,30,3,1.3,10
1000,2.2360041618347166,0.005724712507321264,lasso,30,3,1.3,10
1000,1.9621846199035644,0.04084854084408956,boruta,30,3,1.3,10
1000,4.403827834129333,0.0280607003027217,svm,30,3,1.3,10
3000,1.7681936025619507,0.020826473087282214,fdr,30,3,1.3,10
3000,0.12135374546051025,0.00348694885042709,tweedie,30,3,1.3,10
3000,5.449013042449951,0.042531061082567566,lasso,30,3,1.3,10
3000,5.11934609413147,0.0760413523043893,boruta,30,3,1.3,10
3000,3.517588424682617,0.06733851112591051,svm,30,3,1.3,10
10000,5.452119517326355,0.051512916137430365,fdr,30,3,1.3,10
10000,0.4028105020523071,0.024835248979994288,tweedie,30,3,1.3,10
10000,6.639501667022705,0.1011565441517261,lasso,30,3,1.3,10
10000,18.055979824066164,0.19564925497552244,boruta,30,3,1.3,10
10000,4.412129139900207,0.15587520762447007,svm,30,3,1.3,10
