p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,0.3,0.21343747458109494,0.2,0.1264911064067352,fdr,30,3,0.95,10
100,FALSE,0.2,0.19999999999999998,0.1,0.09486832980505139,fdr,30,3,0.95,10
100,TRUE,1.5,0.26874192494328497,0.9,0.09486832980505137,tweedie,30,3,0.95,10
100,FALSE,3.2,0.69602043392737,1,0,tweedie,30,3,0.95,10
100,TRUE,0.7,0.2603416558635551,0.5,0.15811388300841897,lasso,30,3,0.95,10
100,FALSE,2.3,0.8698658900466593,0.7,0.14491376746189438,lasso,30,3,0.95,10
100,TRUE,1.2,0.13333333333333333,1,0,boruta,30,3,0.95,10
100,FALSE,2.8,0.38873012632302,1,0,boruta,30,3,0.95,10
100,TRUE,0.5,0.16666666666666666,0.5,0.15811388300841897,svm,30,3,0.95,10
100,FALSE,1.5,0.16666666666666666,1,0,svm,30,3,0.95,10
300,TRUE,0.3,0.15275252316519466,0.3,0.14491376746189438,fdr,30,3,0.95,10
300,FALSE,0,0,0,0,fdr,30,3,0.95,10
300,TRUE,1.2,0.19999999999999998,0.9,0.09486832980505137,tweedie,30,3,0.95,10
300,FALSE,1.5,0.30731814857642953,0.9,0.09486832980505137,tweedie,30,3,0.95,10
300,TRUE,0.7,0.21343747458109494,0.6,0.15491933384829668,lasso,30,3,0.95,10
300,FALSE,1.5,0.5426273532033236,0.6,0.15491933384829668,lasso,30,3,0.95,10
300,TRUE,1.2,0.24944382578492943,0.9,0.09486832980505137,boruta,30,3,0.95,10
300,FALSE,4.4,0.6,1,0,boruta,30,3,0.95,10
300,TRUE,0.6,0.22110831935702663,0.5,0.15811388300841897,svm,30,3,0.95,10
300,FALSE,2.4,0.22110831935702663,1,0,svm,30,3,0.95,10
1000,TRUE,0.3,0.21343747458109494,0.2,0.1264911064067352,fdr,30,3,0.95,10
1000,FALSE,0,0,0,0,fdr,30,3,0.95,10
1000,TRUE,0.6,0.22110831935702663,0.5,0.15811388300841897,tweedie,30,3,0.95,10
1000,FALSE,1.3,0.2603416558635551,0.8,0.12649110640673517,tweedie,30,3,0.95,10
1000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,lasso,30,3,0.95,10
1000,FALSE,1.7,0.8698658900466593,0.4,0.15491933384829668,lasso,30,3,0.95,10
1000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,boruta,30,3,0.95,10
1000,FALSE,6.3,0.7156970184527962,1,0,boruta,30,3,0.95,10
1000,TRUE,0.7,0.15275252316519466,0.7,0.14491376746189438,svm,30,3,0.95,10
1000,FALSE,9.3,0.15275252316519466,1,0,svm,30,3,0.95,10
3000,TRUE,0,0,0,0,fdr,30,3,0.95,10
3000,FALSE,0,0,0,0,fdr,30,3,0.95,10
3000,TRUE,0.8,0.3265986323710904,0.5,0.15811388300841897,tweedie,30,3,0.95,10
3000,FALSE,2.4,0.7483314773547882,0.7,0.14491376746189438,tweedie,30,3,0.95,10
3000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,lasso,30,3,0.95,10
3000,FALSE,2.9,1.0268614533832907,0.7,0.14491376746189438,lasso,30,3,0.95,10
3000,TRUE,0.7,0.21343747458109494,0.6,0.15491933384829668,boruta,30,3,0.95,10
3000,FALSE,7.6,1.127435635019184,0.9,0.09486832980505137,boruta,30,3,0.95,10
3000,TRUE,1,0.2581988897471611,0.7,0.14491376746189438,svm,30,3,0.95,10
3000,FALSE,29,0.2581988897471611,1,0,svm,30,3,0.95,10
10000,TRUE,0,0,0,0,fdr,30,3,0.95,10
10000,FALSE,0,0,0,0,fdr,30,3,0.95,10
10000,TRUE,0.4,0.1632993161855452,0.4,0.15491933384829668,tweedie,30,3,0.95,10
10000,FALSE,2.6,0.4760952285695233,0.9,0.09486832980505137,tweedie,30,3,0.95,10
10000,TRUE,0,0,0,0,lasso,30,3,0.95,10
10000,FALSE,2,0.7149203529842405,0.8,0.12649110640673517,lasso,30,3,0.95,10
10000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,boruta,30,3,0.95,10
10000,FALSE,9.1,0.8491826135237996,1,0,boruta,30,3,0.95,10
10000,TRUE,0.3,0.15275252316519466,0.3,0.14491376746189438,svm,30,3,0.95,10
10000,FALSE,99.7,0.15275252316519466,1,0,svm,30,3,0.95,10
