p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.05188157558441162,0.0012873045089457366,fdr,10,1,0.36,10
100,0.014975833892822265,0.0011900950203638568,tweedie,10,1,0.36,10
100,1.948947811126709,0.013243096969185056,lasso,10,1,0.36,10
100,0.12546987533569337,0.0024395688675487473,boruta,10,1,0.36,10
100,0.8486302375793457,0.0067659891964627844,svm,10,1,0.36,10
300,0.16263296604156494,0.005441344725155305,fdr,10,1,0.36,10
300,0.022202587127685545,0.001033004858044852,tweedie,10,1,0.36,10
300,2.044270396232605,0.03451080153875922,lasso,10,1,0.36,10
300,0.31485610008239745,0.009302798000480443,boruta,10,1,0.36,10
300,1.6825479745864869,0.028136331671901556,svm,10,1,0.36,10
1000,0.5340484142303467,0.02402732903359303,fdr,10,1,0.36,10
1000,0.039971137046813966,5.204600674328987e-4,tweedie,10,1,0.36,10
1000,2.1222021341323853,0.023215988433273944,lasso,10,1,0.36,10
1000,1.0201443433761597,0.013737818360285954,boruta,10,1,0.36,10
1000,3.9447291135787963,0.03734015971293533,svm,10,1,0.36,10
3000,1.5093506813049316,0.03144036336084698,fdr,10,1,0.36,10
3000,0.1112257957458496,0.003336086853632454,tweedie,10,1,0.36,10
3000,5.258997297286987,0.10089260353563144,lasso,10,1,0.36,10
3000,3.217442202568054,0.06608683490350538,boruta,10,1,0.36,10
3000,3.0062373876571655,0.04817560656018984,svm,10,1,0.36,10
10000,4.790045309066772,0.04896062425081925,fdr,10,1,0.36,10
10000,0.32492144107818605,0.005008393466415648,tweedie,10,1,0.36,10
10000,6.417392134666443,0.07180865661701559,lasso,10,1,0.36,10
10000,11.8830726146698,0.1080760648262951,boruta,10,1,0.36,10
10000,3.78110728263855,0.03693579364966011,svm,10,1,0.36,10
