p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.0638197660446167,0.001847116771415992,fdr,76,10,0.3,10
100,0.013872909545898437,0.001222782300850419,tweedie,76,10,0.3,10
100,2.7726286172866823,0.0736032249946975,lasso,76,10,0.3,10
100,0.8235145807266235,0.040449838750989925,boruta,76,10,0.3,10
100,1.1622189283370972,0.02671992795229809,svm,76,10,0.3,10
300,0.18251171112060546,0.0030980018887682113,fdr,76,10,0.3,10
300,0.018185806274414063,3.303179194525384e-4,tweedie,76,10,0.3,10
300,2.6136668920516968,0.035422946585959944,lasso,76,10,0.3,10
300,1.198910117149353,0.017805733841227595,boruta,76,10,0.3,10
300,2.170928931236267,0.0344541669715379,svm,76,10,0.3,10
1000,0.6051497459411621,0.0065431621055790515,fdr,76,10,0.3,10
1000,0.04087216854095459,0.002050431409318945,tweedie,76,10,0.3,10
1000,2.7876193523406982,0.032016090192981475,lasso,76,10,0.3,10
1000,2.7615576505661013,0.046052476606808515,boruta,76,10,0.3,10
1000,5.316032218933105,0.03431871730060797,svm,76,10,0.3,10
3000,2.0070075035095214,0.042602512644526275,fdr,76,10,0.3,10
3000,0.11879801750183105,0.004671192106424807,tweedie,76,10,0.3,10
3000,6.232407784461975,0.14974617417024813,lasso,76,10,0.3,10
3000,8.14037001132965,0.23623690445516493,boruta,76,10,0.3,10
3000,4.310941624641418,0.10025819894765796,svm,76,10,0.3,10
10000,7.753119730949402,0.20523464283102125,fdr,76,10,0.3,10
10000,0.42269387245178225,0.011964879070979246,tweedie,76,10,0.3,10
10000,9.926005744934082,0.38046735791594005,lasso,76,10,0.3,10
10000,39.72746987342835,1.8957869414930584,boruta,76,10,0.3,10
10000,7.925177597999573,0.31020744388886806,svm,76,10,0.3,10
