p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,1.7,10
100,0.7333333333333333,0.06254677262203141,NA,NA,NA,0.19779026177828116,0.04661961178536168,tweedie,NA,NA,10,1,1.7,10
100,0.5625,0.06782841915041544,NA,0.03098522199999993,0.06503797678635234,0.21449229460389585,0.05055631867555916,lasso,0.531514778,0.021787255627899408,10,1,1.7,10
100,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.7,10
100,0.65,0.06666666666666667,NA,0.08433999999999998,0.07602797175309156,0.21081851067789195,0.04969039949999533,svm,0.56566,0.028016408684118584,10,1,1.7,10
300,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,1.7,10
300,0.601,0.048645987488850836,NA,NA,NA,0.1538321194928235,0.036258578285891595,tweedie,NA,NA,10,1,1.7,10
300,0.45,0.097182531580755,NA,-0.0900449879999991,0.07835787513886334,0.3073181485764296,0.07243558228002944,lasso,0.5400449879999991,0.03907682201126168,10,1,1.7,10
300,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.7,10
300,0.475,0.06922186552431729,NA,-0.04632000000000001,0.06954720027913895,0.21889875894272828,0.0515949322805742,svm,0.52132,0.013712595993789385,10,1,1.7,10
1000,1,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,1.7,10
1000,0.6968787878787879,0.04965289270633407,NA,NA,NA,0.1570162333679777,0.03700908112362217,tweedie,NA,NA,10,1,1.7,10
1000,0.625,0.07682953714410738,NA,0.05896561599999987,0.0493627738744056,0.2429563289518875,0.0572653559113564,lasso,0.5660343840000002,0.04503401924123759,10,1,1.7,10
1000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.7,10
1000,0.5,0.06454972243679027,NA,-0.016239999999999997,0.06314717236565527,0.2041241452319315,0.048112522432468816,svm,0.51624,0.01228408364963016,10,1,1.7,10
3000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,1.7,10
3000,0.6015303577571379,0.019004377357224628,NA,NA,NA,0.06009711796216123,0.01416502654693736,tweedie,NA,NA,10,1,1.7,10
3000,0.525,0.06922186552431729,NA,-0.006696773999999772,0.06516564197205027,0.21889875894272828,0.0515949322805742,lasso,0.5316967739999998,0.028600064768118442,10,1,1.7,10
3000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.7,10
3000,0.425,0.06508541396588878,NA,-0.08333000000000002,0.06721159630434154,0.20581815058714115,0.048511803323813836,svm,0.5083300000000001,0.005281919895054988,10,1,1.7,10
10000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,1.7,10
10000,0.6264165714824532,0.019084493379092904,NA,NA,NA,0.060350467068336834,0.014224741503932133,tweedie,NA,NA,10,1,1.7,10
10000,0.4375,0.09727181274940626,NA,-0.06349797800000011,0.09737882281007974,0.30760048042152915,0.07250212853410104,lasso,0.5009979780000001,0.0018218713484313073,10,1,1.7,10
10000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.7,10
10000,0.45,0.06236095644623236,NA,-0.05785000000000001,0.06084997443622215,0.19720265943665388,0.04648111258522643,svm,0.50785,0.004075325481207327,10,1,1.7,10
