p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.063653564453125,0.0027259811199218218,fdr,30,3,0.7,10
100,0.014946699142456055,5.802167329287141e-4,tweedie,30,3,0.7,10
100,2.1366705894470215,0.024128661085916273,lasso,30,3,0.7,10
100,0.6078377723693847,0.024469154874381203,boruta,30,3,0.7,10
100,1.06349458694458,0.03016629700383546,svm,30,3,0.7,10
300,0.1795480728149414,0.0015888769556166816,fdr,30,3,0.7,10
300,0.022180461883544923,0.0010426616140534583,tweedie,30,3,0.7,10
300,2.072883439064026,0.01600752270834635,lasso,30,3,0.7,10
300,0.841497540473938,0.038536122681387355,boruta,30,3,0.7,10
300,1.8493107795715331,0.026592032835775877,svm,30,3,0.7,10
1000,0.5344881534576416,0.0034519128111717328,fdr,30,3,0.7,10
1000,0.04139997959136963,0.0016074234843968067,tweedie,30,3,0.7,10
1000,2.0930849075317384,0.020852717252429837,lasso,30,3,0.7,10
1000,1.7725303649902344,0.0213933208795225,boruta,30,3,0.7,10
1000,4.233908677101136,0.04148925272525894,svm,30,3,0.7,10
3000,1.6436208009719848,0.045787624720716166,fdr,30,3,0.7,10
3000,0.10763096809387207,0.0031216488561885414,tweedie,30,3,0.7,10
3000,4.924248361587525,0.04657981602104395,lasso,30,3,0.7,10
3000,4.588704919815063,0.042404550411204125,boruta,30,3,0.7,10
3000,3.269208002090454,0.06258849067189497,svm,30,3,0.7,10
10000,5.109011816978454,0.03656601289664451,fdr,30,3,0.7,10
10000,0.33618841171264646,0.006473265620485278,tweedie,30,3,0.7,10
10000,5.9960938692092896,0.05749595411689271,lasso,30,3,0.7,10
10000,16.86836657524109,0.11394815927931327,boruta,30,3,0.7,10
10000,3.8287219285964964,0.05244372583705176,svm,30,3,0.7,10
