p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.8444444444444444,0.02222222222222222,NA,NA,NA,0.03849001794597504,0.01924500897298752,fdr,NA,NA,30,3,0.95,10
100,0.6764021164021164,0.03426769182513609,NA,NA,NA,0.10836395632416246,0.025541629451006048,tweedie,NA,NA,30,3,0.95,10
100,0.598,0.06636264009214823,NA,0.016654535999999758,0.05203622097504307,0.2098570942331948,0.04946379147079879,lasso,0.5813454640000002,0.029790587954870506,30,3,0.95,10
100,0.65,0.04772607021092118,NA,0.04959000000000001,0.04910037893042283,0.15092308563562362,0.0355729124301825,boruta,0.60041,0.009653007015663264,30,3,0.95,10
100,0.5800000000000001,0.04422166387140534,NA,0.004220000000000029,0.03971315147403944,0.13984117975602023,0.03296088216486962,svm,0.57578,0.02497867890822091,30,3,0.95,10
300,0.888888888888889,0.04444444444444444,NA,NA,NA,0.07698003589195009,0.03849001794597504,fdr,NA,NA,30,3,0.95,10
300,0.6516666666666666,0.03166666666666667,NA,NA,NA,0.1001387925719987,0.023602939762497787,tweedie,NA,NA,30,3,0.95,10
300,0.69,0.06255664100104268,NA,0.06929295199999988,0.04674249240414659,0.19782146833277053,0.04662696724079397,lasso,0.6207070480000001,0.035428204089970966,30,3,0.95,10
300,0.63,0.03349958540373631,NA,0.040029999999999996,0.038741772029683944,0.10593499054713805,0.024969116726938044,boruta,0.58997,0.01695131623863535,30,3,0.95,10
300,0.63,0.047258156262526094,NA,0.08381000000000005,0.0483055792728841,0.14944341180973267,0.03522414996477192,svm,0.54619,0.018605437974480003,30,3,0.95,10
1000,0.9,0.033333333333333326,NA,NA,NA,0.04714045207910316,0.033333333333333326,fdr,NA,NA,30,3,0.95,10
1000,0.7777777777777778,0.035369885589076513,NA,NA,NA,0.11184939904104817,0.026363156177855097,tweedie,NA,NA,30,3,0.95,10
1000,0.53,0.02314207327694637,NA,0.004162733999999979,0.019300427335485888,0.07318166133366716,0.017249082995844472,lasso,0.525837266,0.019551958179827047,30,3,0.95,10
1000,0.52,0.04898979485566357,NA,0.005690000000000006,0.04937652939966068,0.1549193338482967,0.03651483716701109,boruta,0.51431,0.008563325548199392,30,3,0.95,10
1000,0.44,0.033993463423951896,NA,-0.09394,0.029508161582857042,0.107496769977314,0.025337231668869736,svm,0.53394,0.010238187773668198,30,3,0.95,10
3000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,30,3,0.95,10
3000,0.7948253968253969,0.047530453742014825,NA,NA,NA,0.15030449204604004,0.035427108522851476,tweedie,NA,NA,30,3,0.95,10
3000,0.53,0.03678767909685704,NA,-0.017005233999999713,0.044272501679972834,0.1163328557774343,0.02741991706500681,lasso,0.5470052339999998,0.030032659861166655,30,3,0.95,10
3000,0.6444444444444445,0.05800170282728084,NA,0.09556666666666669,0.05345381703447899,0.17400510848184253,0.04350127712046063,boruta,0.5488777777777778,0.012517718306661882,30,3,0.95,10
3000,0.53,0.04725815626252609,NA,0.004219999999999985,0.0457867006406397,0.14944341180973264,0.03522414996477191,svm,0.52578,0.007979122758799995,30,3,0.95,10
10000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,30,3,0.95,10
10000,0.839,0.03153609641710719,NA,NA,NA,0.09972589318873414,0.023505618444546416,tweedie,NA,NA,30,3,0.95,10
10000,0.51,0.044845413490245706,NA,0.013151585999999932,0.044679551428370906,0.14181364924121767,0.033425797681091836,lasso,0.49684841400000007,0.001403614483475741,30,3,0.95,10
10000,0.5,0.053748384988657,NA,-0.0030700000000000336,0.051146669382168844,0.16996731711975951,0.04006168083848878,boruta,0.50307,0.006547570372113447,30,3,0.95,10
10000,0.52,0.06463573143221772,NA,0.016480000000000033,0.06515519046434018,0.20439612955674524,0.04817662975261956,svm,0.50352,0.0019997110902439047,30,3,0.95,10
