p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.9000478468899522,0.005851204934238473,0.9,4.7846889952185556e-5,0.005851204934238473,0.018503134648609313,0.004361230661079804,fdr,NA,NA,76,10,1.81,10
100,0.5580137637469529,0.0032340410514544488,0.9,-0.34198623625304714,0.0032340410514544488,0.01022693576908186,0.002410511877692348,tweedie,NA,NA,76,10,1.81,10
100,0.9828402366863905,0.009100806307739115,NA,0.0017269086863809235,0.0074511403315546095,0.028779276476482877,0.006783340518054511,lasso,0.9811133280000096,0.0054948979226237355,76,10,1.81,10
100,1,0,NA,0.014680000000000016,0.002197513746638845,0,0,boruta,0.98532,0.002197513746638845,76,10,1.81,10
100,0.9,0.020026281220273466,NA,0.011150000000000071,0.019556837050272557,0.06332866171912034,0.01492670871501964,svm,0.88885,0.0029755391668289835,76,10,1.81,10
300,0.8599122807017544,0.014107030104835468,0.9,-0.040087719298245617,0.014107030104835468,0.04461034615184399,0.010514759425016031,fdr,NA,NA,76,10,1.81,10
300,0.5305150170558889,0.004708726408163267,0.9,-0.36948498294411114,0.004708726408163267,0.014890300328379593,0.003509677445367162,tweedie,NA,NA,76,10,1.81,10
300,0.98698224852071,0.0072093360483223255,NA,0.002011380520707562,0.005092264374197566,0.022797922330256275,0.00537352182556281,lasso,0.9849708680000024,0.0069644959356435126,76,10,1.81,10
300,0.9846153846153847,0.0062807429302132725,NA,-0.002234615384615379,0.005995092804813789,0.01986145305747392,0.004681389380386033,boruta,0.98685,0.0012734249530738295,76,10,1.81,10
300,0.9461538461538461,0.013074409009212272,NA,0.019313846153846126,0.012818068577257717,0.04134491152973616,0.00974508910341144,svm,0.92684,0.0030233241455207708,76,10,1.81,10
1000,0.8866028708133972,0.007490071961258752,0.9,-0.013397129186602852,0.007490071961258752,0.023685687236142113,0.005582770020579914,fdr,NA,NA,76,10,1.81,10
1000,0.8782110579479001,0.010390831655537097,0.9,-0.021788942052099913,0.010390831655537097,0.032858694814875376,0.007744868641512543,tweedie,NA,NA,76,10,1.81,10
1000,0.9905325443786982,0.005005356031735514,NA,0.0019976043786965603,0.0028987012347799932,0.015828325560346267,0.0037307721128497355,lasso,0.9885349400000016,0.004393062955623058,76,10,1.81,10
1000,0.9923076923076923,0.005128205128205125,NA,0.004127692307692321,0.004919031484238765,0.016216808513683987,0.003822338423076562,boruta,0.98818,8.775977311831264e-4,76,10,1.81,10
1000,0.9923076923076923,0.005128205128205125,NA,0.010917692307692328,0.006690202542462489,0.016216808513683987,0.003822338423076562,svm,0.98139,0.006430335225407073,76,10,1.81,10
3000,0.8686921850079745,0.013237324360157213,0.9,-0.03130781499202551,0.013237324360157213,0.041860095104527845,0.009866519036508481,fdr,NA,NA,76,10,1.81,10
3000,0.8347828487302171,0.0160801690728579,0.9,-0.06521715126978289,0.0160801690728579,0.05084995943082902,0.01198545037886668,tweedie,NA,NA,76,10,1.81,10
3000,0.9946745562130177,0.004085269265721494,NA,-1.3018378698586018e-4,0.0038312178663070747,0.01291875573476356,0.0030449799281813046,lasso,0.9948047400000036,0.002084323782098039,76,10,1.81,10
3000,0.9769230769230769,0.01025641025641025,NA,-0.009656923076923053,0.009859241448817857,0.032433617027367974,0.007644676846153124,boruta,0.98658,0.0014418968987644912,76,10,1.81,10
3000,0.9653846153846154,0.014561303450769933,NA,0.009904615384615411,0.013869016414478083,0.04604688460530249,0.010853354785641279,svm,0.95548,0.003228098855707836,76,10,1.81,10
10000,0.8804066985645933,0.014847981616759187,0.9,-0.019593301435406718,0.014847981616759187,0.04695344056526835,0.011067032074580258,fdr,NA,NA,76,10,1.81,10
10000,0.809614376851219,0.012994402337986393,0.9,-0.09038562314878107,0.012994402337986393,0.04109190822065413,0.009685455651573258,tweedie,NA,NA,76,10,1.81,10
10000,0.9739644970414201,0.0176018236823062,NA,-0.007608902958584174,0.0075619972892811815,0.05566185380877962,0.01311962476053411,lasso,0.9815734000000043,0.01018593843297392,76,10,1.81,10
10000,0.9692307692307692,0.013808114890088454,NA,-0.012649230769230746,0.010331794388170005,0.04366509324596508,0.010291961178454942,boruta,0.98188,0.0041711122950332715,76,10,1.81,10
10000,0.8961538461538462,0.019902788072128245,NA,0.04771384615384614,0.01890982448181207,0.06293814209555684,0.014834662357016918,svm,0.8484400000000001,0.008813779615528804,76,10,1.81,10
