p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06042711734771729,9.958011522540264e-4,fdr,76,10,0.7,10
100,0.013366603851318359,9.266214539656975e-4,tweedie,76,10,0.7,10
100,2.4169307470321657,0.0031269317348405485,lasso,76,10,0.7,10
100,0.7816038131713867,0.029638272374448427,boruta,76,10,0.7,10
100,1.1248278141021728,0.017417249996768573,svm,76,10,0.7,10
300,0.18351328372955322,0.0035312821576505686,fdr,76,10,0.7,10
300,0.017929649353027342,1.49505044947791e-4,tweedie,76,10,0.7,10
300,2.527688145637512,0.026463864861897488,lasso,76,10,0.7,10
300,1.1688089847564698,0.04918909013422139,boruta,76,10,0.7,10
300,2.147823619842529,0.018043905225461898,svm,76,10,0.7,10
1000,0.6013875484466553,0.004990915206396825,fdr,76,10,0.7,10
1000,0.04190483093261719,0.002094388282224914,tweedie,76,10,0.7,10
1000,2.6480631589889527,0.024667383322649738,lasso,76,10,0.7,10
1000,2.6993625164031982,0.04497627123834138,boruta,76,10,0.7,10
1000,5.290843415260315,0.04386290718384542,svm,76,10,0.7,10
3000,1.8654690265655518,0.024395523923708664,fdr,76,10,0.7,10
3000,0.10955269336700439,0.0038373054533694232,tweedie,76,10,0.7,10
3000,5.620272946357727,0.03382366004692572,lasso,76,10,0.7,10
3000,7.429663038253784,0.22108439837332938,boruta,76,10,0.7,10
3000,3.9879827976226805,0.03908939563161821,svm,76,10,0.7,10
10000,6.249183940887451,0.042520852928540166,fdr,76,10,0.7,10
10000,0.3324581623077393,0.006569889469788067,tweedie,76,10,0.7,10
10000,6.990850853919983,0.05943170226463961,lasso,76,10,0.7,10
10000,25.098673605918883,0.1897766992178379,boruta,76,10,0.7,10
10000,5.434410619735718,0.10466177554469372,svm,76,10,0.7,10
