p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06177632808685303,0.0013164941719326835,fdr,76,10,0.5,10
100,0.012347245216369629,1.768729705853987e-4,tweedie,76,10,0.5,10
100,2.6997557640075684,0.04036690562118885,lasso,76,10,0.5,10
100,0.8329637527465821,0.02489543919818984,boruta,76,10,0.5,10
100,1.1331181049346923,0.019871124996907286,svm,76,10,0.5,10
300,0.18069765567779542,0.0024021754014197086,fdr,76,10,0.5,10
300,0.021030759811401366,0.001396305739447043,tweedie,76,10,0.5,10
300,2.649790811538696,0.02760981617491948,lasso,76,10,0.5,10
300,1.1677862405776978,0.04924304747453603,boruta,76,10,0.5,10
300,2.1669151306152346,0.022205285692430354,svm,76,10,0.5,10
1000,0.6145914793014526,0.009474435562056786,fdr,76,10,0.5,10
1000,0.0407278299331665,0.0015994561730925773,tweedie,76,10,0.5,10
1000,2.76833815574646,0.016844026653551523,lasso,76,10,0.5,10
1000,2.702043557167053,0.0374072839178418,boruta,76,10,0.5,10
1000,5.282929706573486,0.043828232159129864,svm,76,10,0.5,10
3000,1.794262957572937,0.012533795083989548,fdr,76,10,0.5,10
3000,0.10081779956817627,0.0024603937522378115,tweedie,76,10,0.5,10
3000,5.584488892555237,0.02700760748475299,lasso,76,10,0.5,10
3000,7.022432446479797,0.038093967184089195,boruta,76,10,0.5,10
3000,3.9790392875671388,0.04958868818229625,svm,76,10,0.5,10
10000,5.910594797134399,0.039150008025325055,fdr,76,10,0.5,10
10000,0.3245725393295288,0.018923705141483015,tweedie,76,10,0.5,10
10000,6.627131175994873,0.0932169204679571,lasso,76,10,0.5,10
10000,24.107249903678895,0.11338561753540169,boruta,76,10,0.5,10
10000,5.029634928703308,0.12661141780950863,svm,76,10,0.5,10
