p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,0,0,0,0,fdr,30,3,0.3,10
100,FALSE,0.2,0.19999999999999998,0.1,0.09486832980505139,fdr,30,3,0.3,10
100,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,tweedie,30,3,0.3,10
100,FALSE,3.2,0.69602043392737,1,0,tweedie,30,3,0.3,10
100,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,lasso,30,3,0.3,10
100,FALSE,1.6,0.541602560309064,0.7,0.14491376746189438,lasso,30,3,0.3,10
100,TRUE,0,0,0,0,boruta,30,3,0.3,10
100,FALSE,2.4,0.5617433182117572,0.8,0.12649110640673517,boruta,30,3,0.3,10
100,TRUE,0,0,0,0,svm,30,3,0.3,10
100,FALSE,2,0,1,0,svm,30,3,0.3,10
300,TRUE,0,0,0,0,fdr,30,3,0.3,10
300,FALSE,0.2,0.19999999999999998,0.1,0.09486832980505139,fdr,30,3,0.3,10
300,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,tweedie,30,3,0.3,10
300,FALSE,3,0.8944271909999159,0.9,0.09486832980505137,tweedie,30,3,0.3,10
300,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,lasso,30,3,0.3,10
300,FALSE,2.7,0.8698658900466593,0.7,0.14491376746189438,lasso,30,3,0.3,10
300,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,boruta,30,3,0.3,10
300,FALSE,3.5,0.749073501808141,0.8,0.12649110640673517,boruta,30,3,0.3,10
300,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,svm,30,3,0.3,10
300,FALSE,2.8,0.13333333333333333,1,0,svm,30,3,0.3,10
1000,TRUE,0,0,0,0,fdr,30,3,0.3,10
1000,FALSE,0,0,0,0,fdr,30,3,0.3,10
1000,TRUE,0,0,0,0,tweedie,30,3,0.3,10
1000,FALSE,3.3,0.9551032521262934,0.9,0.09486832980505137,tweedie,30,3,0.3,10
1000,TRUE,0,0,0,0,lasso,30,3,0.3,10
1000,FALSE,2.1,1.386041525752786,0.4,0.15491933384829668,lasso,30,3,0.3,10
1000,TRUE,0,0,0,0,boruta,30,3,0.3,10
1000,FALSE,5.7,0.6155395104206463,1,0,boruta,30,3,0.3,10
1000,TRUE,0,0,0,0,svm,30,3,0.3,10
1000,FALSE,10,0,1,0,svm,30,3,0.3,10
3000,TRUE,0,0,0,0,fdr,30,3,0.3,10
3000,FALSE,0,0,0,0,fdr,30,3,0.3,10
3000,TRUE,0,0,0,0,tweedie,30,3,0.3,10
3000,FALSE,1.3,0.334995854037363,0.8,0.12649110640673517,tweedie,30,3,0.3,10
3000,TRUE,0,0,0,0,lasso,30,3,0.3,10
3000,FALSE,1.8,0.8793937305515279,0.6,0.15491933384829668,lasso,30,3,0.3,10
3000,TRUE,0,0,0,0,boruta,30,3,0.3,10
3000,FALSE,9.1,0.8359957469322967,1,0,boruta,30,3,0.3,10
3000,TRUE,0,0,0,0,svm,30,3,0.3,10
3000,FALSE,30,0,1,0,svm,30,3,0.3,10
10000,TRUE,0,0,0,0,fdr,30,3,0.3,10
10000,FALSE,0,0,0,0,fdr,30,3,0.3,10
10000,TRUE,0,0,0,0,tweedie,30,3,0.3,10
10000,FALSE,3.7,0.7753135566408671,1,0,tweedie,30,3,0.3,10
10000,TRUE,0,0,0,0,lasso,30,3,0.3,10
10000,FALSE,1.9,1.4019827229875392,0.3,0.14491376746189438,lasso,30,3,0.3,10
10000,TRUE,0,0,0,0,boruta,30,3,0.3,10
10000,FALSE,10.2,1.0519822558706333,1,0,boruta,30,3,0.3,10
10000,TRUE,0,0,0,0,svm,30,3,0.3,10
10000,FALSE,100,0,1,0,svm,30,3,0.3,10
