p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,0,0,0,fdr,30,3,2,10
100,TRUE,0,0,0,tweedie,30,3,2,10
100,TRUE,0,0,0,lasso,30,3,2,10
100,TRUE,0,0,0,boruta,30,3,2,10
100,TRUE,0,0,0,svm,30,3,2,10
300,TRUE,0,0,0,fdr,30,3,2,10
300,TRUE,0,0,0,tweedie,30,3,2,10
300,TRUE,0,0,0,lasso,30,3,2,10
300,TRUE,0,0,0,boruta,30,3,2,10
300,TRUE,0,0,0,svm,30,3,2,10
1000,TRUE,0,0,0,fdr,30,3,2,10
1000,TRUE,0,0,0,tweedie,30,3,2,10
1000,TRUE,0,0,0,lasso,30,3,2,10
1000,TRUE,0,0,0,boruta,30,3,2,10
1000,TRUE,0,0,0,svm,30,3,2,10
3000,TRUE,0,0,0,fdr,30,3,2,10
3000,TRUE,0,0,0,tweedie,30,3,2,10
3000,TRUE,0,0,0,lasso,30,3,2,10
3000,TRUE,0,0,0,boruta,30,3,2,10
3000,TRUE,0,0,0,svm,30,3,2,10
10000,TRUE,1,0.1,0.09486832980505139,fdr,30,3,2,10
10000,TRUE,0,0,0,tweedie,30,3,2,10
10000,TRUE,3,0.3,0.14491376746189438,lasso,30,3,2,10
10000,TRUE,0,0,0,boruta,30,3,2,10
10000,TRUE,0,0,0,svm,30,3,2,10
