p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.060685157775878906,8.658756156606888e-4,fdr,76,10,0.8,10
100,0.013556313514709473,7.506755335355745e-4,tweedie,76,10,0.8,10
100,1.084455418586731,0.018621220399173938,lasso,76,10,0.8,10
100,0.8311175346374512,0.014950497794586232,boruta,76,10,0.8,10
100,1.0323458671569825,0.0061006927246785815,svm,76,10,0.8,10
300,0.18015875816345214,0.0017194907832887563,fdr,76,10,0.8,10
300,0.017769336700439453,1.4642842804742245e-4,tweedie,76,10,0.8,10
300,1.1154993534088136,0.024225754338254593,lasso,76,10,0.8,10
300,1.22309467792511,0.01498316893162836,boruta,76,10,0.8,10
300,2.0194842338562013,0.012825663157956808,svm,76,10,0.8,10
1000,0.5974995851516723,0.005515446744176325,fdr,76,10,0.8,10
1000,0.0392662525177002,6.966123495264447e-4,tweedie,76,10,0.8,10
1000,1.1973718881607056,0.012682885993094618,lasso,76,10,0.8,10
1000,2.751030158996582,0.018273276452748313,boruta,76,10,0.8,10
1000,5.0482221126556395,0.019227553919873384,svm,76,10,0.8,10
3000,1.8204448699951172,0.018627091773181698,fdr,76,10,0.8,10
3000,0.10883326530456543,0.0019719743793456946,tweedie,76,10,0.8,10
3000,4.0284367322921755,0.016774136908528817,lasso,76,10,0.8,10
3000,7.230742239952088,0.04049240004131462,boruta,76,10,0.8,10
3000,3.861457371711731,0.02883577067695592,svm,76,10,0.8,10
10000,6.055255246162415,0.022635891684846095,fdr,76,10,0.8,10
10000,0.3326404333114624,0.005199311318798613,tweedie,76,10,0.8,10
10000,5.2834960460662845,0.012181430048144095,lasso,76,10,0.8,10
10000,25.613891744613646,0.16574942451112273,boruta,76,10,0.8,10
10000,5.286156272888183,0.08305354182509468,svm,76,10,0.8,10
