p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.054611730575561526,0.0015085152409522338,fdr,10,1,1.7,10
100,0.013734054565429688,2.639348370196686e-4,tweedie,10,1,1.7,10
100,1.9163039445877075,0.009399027786512536,lasso,10,1,1.7,10
100,0.12438318729400635,0.0014556542344897148,boruta,10,1,1.7,10
100,0.8530257225036622,0.005803643687158048,svm,10,1,1.7,10
300,0.1569127321243286,0.0010443981837637243,fdr,10,1,1.7,10
300,0.020095276832580566,1.9558064435640056e-4,tweedie,10,1,1.7,10
300,1.9494434118270874,0.010843446485757404,lasso,10,1,1.7,10
300,0.30733613967895507,0.001344490749808991,boruta,10,1,1.7,10
300,1.6676893472671508,0.02386305923651282,svm,10,1,1.7,10
1000,0.48747289180755615,0.004039286813509916,fdr,10,1,1.7,10
1000,0.04182567596435547,0.002199695971410012,tweedie,10,1,1.7,10
1000,2.070611572265625,0.012833481243610315,lasso,10,1,1.7,10
1000,0.9964217662811279,0.004604126817660856,boruta,10,1,1.7,10
1000,3.9246150493621825,0.04055676291553643,svm,10,1,1.7,10
3000,1.4467368602752686,0.013962859293739196,fdr,10,1,1.7,10
3000,0.10869672298431396,0.002875920434333415,tweedie,10,1,1.7,10
3000,4.991156125068665,0.03487125664723222,lasso,10,1,1.7,10
3000,3.260610795021057,0.049346210513537644,boruta,10,1,1.7,10
3000,2.8960013151168824,0.03844664523317527,svm,10,1,1.7,10
10000,4.650959324836731,0.019394122580679685,fdr,10,1,1.7,10
10000,0.30093343257904054,0.0025403591969760356,tweedie,10,1,1.7,10
10000,6.026573848724365,0.08616251928795078,lasso,10,1,1.7,10
10000,11.890133500099182,0.09915352578802712,boruta,10,1,1.7,10
10000,3.7364097118377684,0.10632334850318066,svm,10,1,1.7,10
