p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.7443609022556391,0.024339504510720592,NA,NA,NA,0.06439627596990152,0.01858960363301604,fdr,NA,NA,76,10,0.5,10
100,0.6314314194577352,0.02459236425937324,NA,NA,NA,0.0777678841081393,0.01833006607046495,tweedie,NA,NA,76,10,0.5,10
100,0.6751479289940828,0.03745925118966902,NA,0.013123964994081755,0.028195342488994038,0.11845655320372614,0.027920477348779938,lasso,0.6620239640000011,0.02067476203630934,76,10,0.5,10
100,0.55,0.026923076923076925,NA,-0.021080000000000005,0.025794570605368085,0.08513824469684099,0.020067276721151963,boruta,0.57108,0.012161805421528133,76,10,0.5,10
100,0.5346153846153846,0.031114515639773327,NA,-0.043804615384615386,0.028710628123717236,0.09839273771461485,0.023191390685837844,svm,0.57842,0.00885586811103237,76,10,0.5,10
300,0.7763157894736842,0.02009901620594666,NA,NA,NA,0.03481251725084986,0.01740625862542493,fdr,NA,NA,76,10,0.5,10
300,0.6301796157059315,0.03254452732211243,NA,NA,NA,0.1029148317114556,0.0242572584626142,tweedie,NA,NA,76,10,0.5,10
300,0.5846153846153846,0.038839492276599934,NA,-0.03945973938461635,0.0406019323923954,0.12282125875857428,0.028949248314018506,lasso,0.624075124000001,0.013288256098611381,76,10,0.5,10
300,0.5538461538461539,0.034969696658938086,NA,-0.0028438461538461413,0.030768715488206748,0.11058389052742472,0.026064872960644282,boruta,0.55669,0.010939850191946062,76,10,0.5,10
300,0.5576923076923077,0.02311250817605121,NA,-0.0015876923076923344,0.028515839473084083,0.07308816827558576,0.017227046470723397,svm,0.55928,0.013460582784147529,76,10,0.5,10
1000,0.7379385964912281,0.008840194899450166,NA,NA,NA,0.017680389798900333,0.007217988910135784,fdr,NA,NA,76,10,0.5,10
1000,0.7127192982456141,0.024261959098139173,NA,NA,NA,0.07672305124796447,0.01808379660358623,tweedie,NA,NA,76,10,0.5,10
1000,0.5739644970414202,0.03227730952950948,NA,-0.039929530958580525,0.02443226715495667,0.10206981485550778,0.02405808607959499,lasso,0.6138940280000006,0.020872851830578874,76,10,0.5,10
1000,0.5384615384615384,0.02719641466102105,NA,-0.007871794871794877,0.023982452904931926,0.08158924398306315,0.020397310995765788,boruta,0.5463333333333333,0.011736978600417855,76,10,0.5,10
1000,0.5307692307692308,0.03706880075589988,NA,-0.01529076923076923,0.03990586294234108,0.11722184051961494,0.027629452778195913,svm,0.54606,0.013292464030419636,76,10,0.5,10
3000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,76,10,0.5,10
3000,0.7274436090225563,0.029381889944093614,NA,NA,NA,0.07773717384114119,0.022440789121611803,tweedie,NA,NA,76,10,0.5,10
3000,0.4937869822485207,0.031504052437700054,NA,-0.03882095375147959,0.02385043536480743,0.09962456122851207,0.023481734272471765,lasso,0.5326079360000003,0.011796404446944273,76,10,0.5,10
3000,0.45384615384615384,0.022057244274468278,NA,-0.07117384615384617,0.016091982322542917,0.06975113081402794,0.016440499198009703,boruta,0.52502,0.010105551829453831,76,10,0.5,10
3000,0.4807692307692308,0.02515566265429306,NA,-0.039210769230769243,0.021417939269475793,0.07954919003840294,0.018749923904684027,svm,0.51998,0.007692114288166949,76,10,0.5,10
10000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,76,10,0.5,10
10000,0.7539473684210526,0.010106770720879756,NA,NA,NA,0.02259942636489169,0.00799010381677048,tweedie,NA,NA,76,10,0.5,10
10000,0.4396449704142012,0.03428833968053861,NA,-0.07462538158579861,0.03717783010872682,0.10842925057603224,0.02555701945376259,lasso,0.5142703519999998,0.008717156457307777,76,10,0.5,10
10000,0.5,0.03569079719762834,NA,-0.009388888888888879,0.03372845225187317,0.10707239159288502,0.026768097898221255,boruta,0.5093888888888889,0.007581033432272576,76,10,0.5,10
10000,0.49230769230769234,0.022057244274468275,NA,-0.025742307692307693,0.02286979148550334,0.06975113081402792,0.0164404991980097,svm,0.51805,0.005164908302939926,76,10,0.5,10
