p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.05795507431030274,0.0033065787900800024,fdr,10,1,1.3,10
100,0.016033029556274413,0.0018766473728017714,tweedie,10,1,1.3,10
100,2.110264301300049,0.01767221528257733,lasso,10,1,1.3,10
100,0.12884986400604248,0.004518242990056087,boruta,10,1,1.3,10
100,0.9027868509292603,0.009063442049444214,svm,10,1,1.3,10
300,0.1757551908493042,0.003977159946304658,fdr,10,1,1.3,10
300,0.02137913703918457,6.007689958082306e-4,tweedie,10,1,1.3,10
300,2.077418327331543,0.023234180908526345,lasso,10,1,1.3,10
300,0.3216784715652466,0.005681934186912877,boruta,10,1,1.3,10
300,1.730527687072754,0.035044390433157366,svm,10,1,1.3,10
1000,0.5370979070663452,0.028126783725304555,fdr,10,1,1.3,10
1000,0.04306685924530029,0.00261168266463573,tweedie,10,1,1.3,10
1000,2.1672765731811525,0.048262012603999496,lasso,10,1,1.3,10
1000,1.058439302444458,0.025219949944018574,boruta,10,1,1.3,10
1000,4.0772966861724855,0.044000448881680865,svm,10,1,1.3,10
3000,1.5295578241348267,0.021669020283484202,fdr,10,1,1.3,10
3000,0.11153192520141601,0.0028132381860632508,tweedie,10,1,1.3,10
3000,5.229432153701782,0.06282636149483543,lasso,10,1,1.3,10
3000,3.385635805130005,0.05525073391740174,boruta,10,1,1.3,10
3000,3.0758418321609495,0.051534450461740385,svm,10,1,1.3,10
10000,5.035272741317749,0.054355070246814706,fdr,10,1,1.3,10
10000,0.3365135908126831,0.00550912487499717,tweedie,10,1,1.3,10
10000,6.705544400215149,0.09058760044986533,lasso,10,1,1.3,10
10000,12.966392087936402,0.11955828790777691,boruta,10,1,1.3,10
10000,4.293107223510742,0.10432323469336695,svm,10,1,1.3,10
