p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,NA,NA,0.9,NA,NA,NA,NA,fdr,NA,NA,10,1,1.81,10
100,0.6930952380952381,0.056205596118370775,0.9,-0.20690476190476192,0.056205596118370775,0.1777377009815705,0.04189317787885846,tweedie,NA,NA,10,1,1.81,10
100,0.525,0.05833333333333333,NA,0.025905381999999928,0.058970777248536624,0.18446619684315546,0.04347909956249591,lasso,0.4990946180000001,9.905230755445705e-4,10,1,1.81,10
100,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,10
100,0.625,0.06718548123582124,NA,0.05439999999999999,0.07473471006760439,0.21245914639969937,0.050077101048110965,svm,0.5706,0.029538095929005154,10,1,1.81,10
300,NA,NA,0.9,NA,NA,NA,NA,fdr,NA,NA,10,1,1.81,10
300,0.601,0.048645987488850836,0.9,-0.29900000000000004,0.048645987488850836,0.1538321194928235,0.036258578285891595,tweedie,NA,NA,10,1,1.81,10
300,0.45,0.097182531580755,NA,-0.09142433199999923,0.07798099496192384,0.3073181485764296,0.07243558228002944,lasso,0.5414243319999992,0.040455708809159614,10,1,1.81,10
300,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,10
300,0.475,0.06922186552431729,NA,-0.04742,0.06965069960564325,0.21889875894272828,0.0515949322805742,svm,0.52242,0.014441374203616788,10,1,1.81,10
1000,1,NA,0.9,0.09999999999999998,NA,NA,NA,fdr,NA,NA,10,1,1.81,10
1000,0.7018787878787879,0.05049191344294939,0.9,-0.19812121212121214,0.05049191344294939,0.15966944989979434,0.0376344502574901,tweedie,NA,NA,10,1,1.81,10
1000,0.625,0.07682953714410738,NA,0.05455025199999906,0.04825853283406064,0.2429563289518875,0.0572653559113564,lasso,0.5704497480000009,0.04783526351699793,10,1,1.81,10
1000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,10
1000,0.5,0.06454972243679027,NA,-0.016710000000000003,0.06319247045512796,0.2041241452319315,0.048112522432468816,svm,0.51671,0.012603328043726299,10,1,1.81,10
3000,NA,NA,0.9,NA,NA,NA,NA,fdr,NA,NA,10,1,1.81,10
3000,0.6012362401100791,0.01892313170309592,0.9,-0.2987637598899209,0.01892313170309592,0.05984019664512425,0.01410446961176795,tweedie,NA,NA,10,1,1.81,10
3000,0.55,0.0816496580927726,NA,0.007303638000000068,0.06590042975174283,0.2581988897471611,0.06085806194501846,lasso,0.5426963619999999,0.039588749205887376,10,1,1.81,10
3000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,10
3000,0.425,0.06508541396588878,NA,-0.08347000000000002,0.0672338754729423,0.20581815058714115,0.048511803323813836,svm,0.50847,0.005312941223507401,10,1,1.81,10
10000,NA,NA,0.9,NA,NA,NA,NA,fdr,NA,NA,10,1,1.81,10
10000,0.6264165714824532,0.019084493379092904,0.9,-0.2735834285175468,0.019084493379092904,0.060350467068336834,0.014224741503932133,tweedie,NA,NA,10,1,1.81,10
10000,0.4375,0.09727181274940626,NA,-0.06349828600000013,0.0973786905693546,0.30760048042152915,0.07250212853410104,lasso,0.5009982860000002,0.0018218928807077505,10,1,1.81,10
10000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,10
10000,0.45,0.06236095644623236,NA,-0.057810000000000014,0.06097102125873678,0.19720265943665388,0.04648111258522643,svm,0.50781,0.0039184591642917824,10,1,1.81,10
