p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.8705555555555555,0.03852608543907957,0.9,-0.029444444444444495,0.03852608543907957,0.12183017931773964,0.02871564864958226,fdr,NA,NA,30,3,1.81,10
100,0.7494444444444445,0.04802298546590981,0.9,-0.15055555555555555,0.04802298546590981,0.15186201411343736,0.03579421999475292,tweedie,NA,NA,30,3,1.81,10
100,0.9,0.027487370837451067,NA,-0.013949496000007167,0.026723726430608954,0.08692269873603531,0.020487876571761973,lasso,0.9139494960000072,0.019068156786302776,30,3,1.81,10
100,0.8300000000000001,0.02999999999999999,NA,-0.011919999999999964,0.022998593193690974,0.09486832980505135,0.02236067977499789,boruta,0.84192,0.01873563924123695,30,3,1.81,10
100,0.75,0.030731814857642953,NA,-0.03309999999999991,0.032253933437988956,0.097182531580755,0.02290614236454256,svm,0.7830999999999999,0.037179513474791766,30,3,1.81,10
300,0.8711111111111112,0.03143569655395991,0.9,-0.028888888888888853,0.03143569655395991,0.09940840094441955,0.02343078480490342,fdr,NA,NA,30,3,1.81,10
300,0.6985476190476191,0.05402007581728144,0.9,-0.20145238095238094,0.05402007581728144,0.1708264789575912,0.040264187225711276,tweedie,NA,NA,30,3,1.81,10
300,0.808,0.06437390775772432,NA,0.002606227999999766,0.021138917737854236,0.20356817039999156,0.047981477907857555,lasso,0.8053937720000003,0.05779938876661625,30,3,1.81,10
300,0.76,0.039999999999999994,NA,-0.009279999999999955,0.03403115827199146,0.12649110640673517,0.0298142396999972,boruta,0.76928,0.02456618633632643,30,3,1.81,10
300,0.7200000000000001,0.066332495807108,NA,-0.003979999999999956,0.04273985077704933,0.20976176963403032,0.04944132324730442,svm,0.72398,0.04252718555360925,30,3,1.81,10
1000,0.9141975308641975,0.027702229225082562,0.9,0.014197530864197505,0.027702229225082562,0.08310668767524769,0.020776671918811922,fdr,NA,NA,30,3,1.81,10
1000,0.7218888888888889,0.041497367989651916,0.9,-0.1781111111111111,0.041497367989651916,0.13122619974946267,0.03093031190406183,tweedie,NA,NA,30,3,1.81,10
1000,0.888,0.050526120857323775,NA,-0.031472755999996396,0.04132837560795905,0.15977762324208258,0.03765994695878198,lasso,0.9194727559999964,0.014784357114239787,30,3,1.81,10
1000,0.78,0.03590109871423003,NA,-0.010169999999999967,0.025766515954712327,0.11352924243950935,0.026759099063982883,boruta,0.79017,0.023347662504937073,30,3,1.81,10
1000,0.7200000000000001,0.05333333333333333,NA,0.01542000000000004,0.040411829401247795,0.16865480854231357,0.03975231959999627,svm,0.70458,0.019806967348777946,30,3,1.81,10
3000,0.880246913580247,0.03914281200614244,0.9,-0.01975308641975304,0.03914281200614244,0.11742843601842733,0.02935710900460683,fdr,NA,NA,30,3,1.81,10
3000,0.7965555555555556,0.036427747605505684,0.9,-0.10344444444444445,0.036427747605505684,0.1151946524631428,0.027151639971038637,tweedie,NA,NA,30,3,1.81,10
3000,0.712,0.09267386063202743,NA,-0.019630432000001745,0.03732619691194308,0.2930604791582182,0.069075017370185,lasso,0.7316304320000018,0.06415048822467961,30,3,1.81,10
3000,0.6,0.053748384988657,NA,-0.055349999999999976,0.034840934577336224,0.16996731711975951,0.04006168083848878,boruta,0.65535,0.03387397640929947,30,3,1.81,10
3000,0.61,0.05467073155618908,NA,-0.0027899999999999705,0.048300649754083706,0.1728840330651992,0.04074915737976056,svm,0.61279,0.016940336150410025,30,3,1.81,10
10000,0.9407407407407408,0.020621349491963044,0.9,0.040740740740740744,0.020621349491963044,0.035717225040714645,0.017858612520357323,fdr,NA,NA,30,3,1.81,10
10000,0.7879835390946502,0.03338999020795226,0.9,-0.11201646090534978,0.03338999020795226,0.10016997062385678,0.025042492655964196,tweedie,NA,NA,30,3,1.81,10
10000,0.484,0.061376796194580814,NA,-0.058490866000000155,0.06764937977729665,0.19409047145883052,0.04574756284407771,lasso,0.5424908660000002,0.025549459333867354,30,3,1.81,10
10000,0.55,0.049999999999999996,NA,-0.01598,0.040594563949157295,0.15811388300841897,0.037267799624996496,boruta,0.56598,0.02550657344468067,30,3,1.81,10
10000,0.51,0.037859388972001834,NA,-0.04757999999999995,0.0358490223018704,0.1197218999737865,0.02821872244266733,svm,0.55758,0.00613524970061438,30,3,1.81,10
