p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
100,TRUE,0.8025,0.05186964937529257,0.4775,0.024974674672555795,10,30,0.74,400
100,FALSE,0.685,0.04563050358195554,0.445,0.02484828967957352,10,30,0.74,400
300,TRUE,0.2575,0.02678203817714973,0.2125,0.020453835214941964,10,30,0.74,400
300,FALSE,1.04,0.062696308245934,0.565,0.024787849846245234,10,30,0.74,400
1000,TRUE,0.08,0.014901514615790288,0.0725,0.012965699942540702,10,30,0.74,400
1000,FALSE,1.135,0.06306250628739807,0.61,0.024387496796514398,10,30,0.74,400
3000,TRUE,0.045,0.010378187072764358,0.045,0.01036520622081394,10,30,0.74,400
3000,FALSE,1.16,0.06321384322233022,0.6325,0.024106210299422844,10,30,0.74,400
6000,TRUE,0.0075,0.0043192609365022144,0.0075,0.00431385848168435,10,30,0.74,400
6000,FALSE,1.19,0.0688046888884223,0.6125,0.024358969087381346,10,30,0.74,400
