p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0,0,0,0,fdr,10,1,0.9,100,no
100,FALSE,0.04,0.024287836253956217,0.03,0.01705872210923198,fdr,10,1,0.9,100,no
100,TRUE,0.17,0.03775251680686369,0.17,0.0375632799419859,tweedie,10,1,0.9,100,no
100,FALSE,3.14,0.19333333333333333,0.96,0.019595917942265433,tweedie,10,1,0.9,100,no
100,TRUE,0.03,0.01714466079977653,0.03,0.01705872210923198,lasso,10,1,0.9,100,no
100,FALSE,0.97,0.11322187032191226,0.57,0.04950757517794625,lasso,10,1,0.9,100,no
100,TRUE,0,0,0,0,boruta,10,1,0.9,100,no
100,FALSE,0,0,0,0,boruta,10,1,0.9,100,no
100,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,svm,10,1,0.9,100,no
100,FALSE,1.96,0.019694638556693237,1,0,svm,10,1,0.9,100,no
300,TRUE,0,0,0,0,fdr,10,1,0.9,100,no
300,FALSE,0.02,0.014070529413628968,0.02,0.014,fdr,10,1,0.9,100,no
300,TRUE,0.08,0.027265992434429075,0.08,0.027129319932501072,tweedie,10,1,0.9,100,no
300,FALSE,4.32,0.21361723533536153,1,0,tweedie,10,1,0.9,100,no
300,TRUE,0,0,0,0,lasso,10,1,0.9,100,no
300,FALSE,1.02,0.1171893055416463,0.59,0.04918333050943175,lasso,10,1,0.9,100,no
300,TRUE,0,0,0,0,boruta,10,1,0.9,100,no
300,FALSE,0,0,0,0,boruta,10,1,0.9,100,no
300,TRUE,0.01,0.01,0.01,0.0099498743710662,svm,10,1,0.9,100,no
300,FALSE,2.99,0.01,1,0,svm,10,1,0.9,100,no
1000,TRUE,0,0,0,0,fdr,10,1,0.9,100,no
1000,FALSE,0.04,0.019694638556693237,0.04,0.019595917942265423,fdr,10,1,0.9,100,no
1000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,tweedie,10,1,0.9,100,no
1000,FALSE,6.55,0.28297660252352597,1,0,tweedie,10,1,0.9,100,no
1000,TRUE,0,0,0,0,lasso,10,1,0.9,100,no
1000,FALSE,1.37,0.15805318117901987,0.61,0.048774993593028795,lasso,10,1,0.9,100,no
1000,TRUE,0,0,0,0,boruta,10,1,0.9,100,no
1000,FALSE,0,0,0,0,boruta,10,1,0.9,100,no
1000,TRUE,0.05,0.021904291355759033,0.05,0.021794494717703367,svm,10,1,0.9,100,no
1000,FALSE,9.95,0.021904291355759033,1,0,svm,10,1,0.9,100,no
3000,TRUE,0,0,0,0,fdr,10,1,0.9,100,no
3000,FALSE,0.06,0.02777979790634143,0.05,0.021794494717703367,fdr,10,1,0.9,100,no
3000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,tweedie,10,1,0.9,100,no
3000,FALSE,11.23,0.40548138245195864,1,0,tweedie,10,1,0.9,100,no
3000,TRUE,0,0,0,0,lasso,10,1,0.9,100,no
3000,FALSE,1.17,0.12231355632392535,0.66,0.04737087712930804,lasso,10,1,0.9,100,no
3000,TRUE,0,0,0,0,boruta,10,1,0.9,100,no
3000,FALSE,0,0,0,0,boruta,10,1,0.9,100,no
3000,TRUE,0.05,0.021904291355759033,0.05,0.021794494717703367,svm,10,1,0.9,100,no
3000,FALSE,29.95,0.021904291355759033,1,0,svm,10,1,0.9,100,no
10000,TRUE,0,0,0,0,fdr,10,1,0.9,100,no
10000,FALSE,0.04,0.019694638556693237,0.04,0.019595917942265423,fdr,10,1,0.9,100,no
10000,TRUE,0.05,0.021904291355759033,0.05,0.021794494717703367,tweedie,10,1,0.9,100,no
10000,FALSE,24.96,0.7206786924682718,1,0,tweedie,10,1,0.9,100,no
10000,TRUE,0,0,0,0,lasso,10,1,0.9,100,no
10000,FALSE,1.5,0.15731330124142315,0.69,0.04624932431938871,lasso,10,1,0.9,100,no
10000,TRUE,0,0,0,0,boruta,10,1,0.9,100,no
10000,FALSE,0,0,0,0,boruta,10,1,0.9,100,no
10000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,svm,10,1,0.9,100,no
10000,FALSE,99.96,0.019694638556693237,1,0,svm,10,1,0.9,100,no
