p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.8611111111111112,0.03032743125323595,NA,NA,NA,0.07428673177976344,0.02349152723540663,fdr,NA,NA,30,3,0.5,100,no
100,0.6762640542328042,0.012929005609711731,NA,NA,NA,0.1266778665015002,0.009190178356144503,tweedie,NA,NA,30,3,0.5,100,no
100,0.509,0.013449118479617462,NA,4.60078199999992e-4,0.013427033512430376,0.1344911847961746,0.009557872314019738,lasso,0.5085399218,0.002852185440740686,30,3,0.5,100,no
100,0.5277777777777778,0.015851203434493023,NA,0.013522222222222236,0.01572328686044064,0.13450192126197008,0.011287150497813439,boruta,0.5142555555555556,0.0028046364257753543,30,3,0.5,100,no
100,0.502,0.018033638601572376,NA,-0.007578999999999984,0.017507208517947948,0.18033638601572377,0.0128159488945114,svm,0.509579,0.0023974242470205433,30,3,0.5,100,no
300,0.7,0.16666666666666669,NA,NA,NA,0.23570226039551587,0.16666666666666669,fdr,NA,NA,30,3,0.5,100,no
300,0.7081470342522974,0.011101020826910212,NA,NA,NA,0.10819936701733497,0.00789124987503057,tweedie,NA,NA,30,3,0.5,100,no
300,0.5162,0.013344525605519427,NA,0.012526019600000066,0.013384188863997656,0.13344525605519428,0.009483541395075094,lasso,0.5036739803999999,0.0020708008459343987,30,3,0.5,100,no
300,0.5473684210526316,0.014878538115219601,NA,0.040512631578947376,0.014673543105996948,0.14501805116044703,0.010576528399779923,boruta,0.5068557894736843,0.0019575476097774213,30,3,0.5,100,no
300,0.551,0.0157310090733127,NA,0.044746000000000015,0.015700458683385238,0.15731009073312702,0.011179541344756252,svm,0.506254,0.001932256450344776,30,3,0.5,100,no
1000,0.9,0.033333333333333326,NA,NA,NA,0.06666666666666665,0.027216552697590865,fdr,NA,NA,30,3,0.5,100,no
1000,0.7747167919799499,0.011760478366068989,NA,NA,NA,0.11462696403064938,0.008360030566880068,tweedie,NA,NA,30,3,0.5,100,no
1000,0.507,0.016942862982996885,NA,0.0050457619999999094,0.01684226202710893,0.16942862982996884,0.012040768416966302,lasso,0.501954238,0.0013484693934037602,30,3,0.5,100,no
1000,0.511340206185567,0.016045755068323078,NA,0.010019587628865996,0.01591098052292749,0.1580323599903631,0.011405003197638498,boruta,0.5013206185567011,0.001014726126171357,30,3,0.5,100,no
1000,0.504,0.014489285487538505,NA,0.0016839999999999989,0.014366441165353924,0.14489285487538506,0.010297086818080533,svm,0.502316,8.536347952352713e-4,30,3,0.5,100,no
3000,0.7333333333333334,0.2,NA,NA,NA,0.28284271247461906,0.2,fdr,NA,NA,30,3,0.5,100,no
3000,0.7955503935991741,0.012851196912710569,NA,NA,NA,0.11637253753063675,0.009143090047977694,tweedie,NA,NA,30,3,0.5,100,no
3000,0.4764,0.01279008454335868,NA,-0.025070658999999978,0.012583157574244474,0.1279008454335868,0.00908951728964297,lasso,0.501470659,0.0014123074896554785,30,3,0.5,100,no
3000,0.468,0.016445809389161924,NA,-0.032489,0.0164005417436391,0.16445809389161925,0.011687527809390488,boruta,0.500489,5.476781016530624e-4,30,3,0.5,100,no
3000,0.46900000000000003,0.016249009293809364,NA,-0.03415,0.01636974009900863,0.16249009293809363,0.011547668071697093,svm,0.50315,0.001059686917743332,30,3,0.5,100,no
10000,0.8666666666666667,NA,NA,NA,NA,NA,NA,fdr,NA,NA,30,3,0.5,100,no
10000,0.7810441954559602,0.014787858967272086,NA,NA,NA,0.13633732317694228,0.010518652845533273,tweedie,NA,NA,30,3,0.5,100,no
10000,0.5214,0.014617700630303376,NA,0.02134751179999996,0.014679246403556643,0.14617700630303376,0.010388347486175127,lasso,0.5000524882,6.234199558735926e-4,30,3,0.5,100,no
10000,0.51,0.015795409127178365,NA,0.00989700000000001,0.01583539810811286,0.15795409127178364,0.011225308470147915,boruta,0.500103,5.805212826382509e-4,30,3,0.5,100,no
10000,0.506,0.016625403465902428,NA,0.004016000000000005,0.016707240232965475,0.16625403465902427,0.01181515976210482,svm,0.501984,5.707318003044759e-4,30,3,0.5,100,no
