p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.05333920478820801,3.2035869479280816e-4,fdr,30,3,1.3,100,no
100,0.013276524543762207,1.9383728744282953e-4,tweedie,30,3,1.3,100,no
100,0.4164668416976929,0.002562602429967242,lasso,30,3,1.3,100,no
100,0.5186764407157898,0.009192200524159016,boruta,30,3,1.3,100,no
100,0.7868546104431152,0.002636640611932858,svm,30,3,1.3,100,no
300,0.1597029161453247,6.06855025258571e-4,fdr,30,3,1.3,100,no
300,0.0206581711769104,0.001359006375453033,tweedie,30,3,1.3,100,no
300,0.42932830333709715,0.0025560630653133267,lasso,30,3,1.3,100,no
300,0.7420509052276612,0.0073999602437737995,boruta,30,3,1.3,100,no
300,1.5381556916236878,0.006286862257232392,svm,30,3,1.3,100,no
1000,0.48578781843185426,0.002343935249427935,fdr,30,3,1.3,100,no
1000,0.037178177833557126,2.2432409775973404e-4,tweedie,30,3,1.3,100,no
1000,0.4839131784439087,0.0016756862206313364,lasso,30,3,1.3,100,no
1000,1.5931261014938354,0.00889515883493237,boruta,30,3,1.3,100,no
1000,3.5282871770858764,0.0075371385595350586,svm,30,3,1.3,100,no
3000,1.4534660649299622,0.004710179735691694,fdr,30,3,1.3,100,no
3000,0.10093026399612427,0.001435622164089176,tweedie,30,3,1.3,100,no
3000,3.0662925124168394,0.0016690772575919637,lasso,30,3,1.3,100,no
3000,4.216483969688415,0.011503867619796684,boruta,30,3,1.3,100,no
3000,2.757364897727966,0.009675170383994385,svm,30,3,1.3,100,no
10000,4.850139832496643,0.010152859141897343,fdr,30,3,1.3,100,no
10000,0.3158666777610779,0.002861285832288855,tweedie,30,3,1.3,100,no
10000,4.3357469272613525,0.008619758767875841,lasso,30,3,1.3,100,no
10000,15.846427278518677,0.06800100918890153,boruta,30,3,1.3,100,no
10000,3.9308059430122375,0.029055409877802134,svm,30,3,1.3,100,no
