p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,94,0.94,0.023748684174075843,fdr,30,3,0.5,100,no
100,TRUE,4,0.04,0.019595917942265423,tweedie,30,3,0.5,100,no
100,TRUE,47,0.47,0.04990991885387112,lasso,30,3,0.5,100,no
100,TRUE,8,0.08,0.027129319932501072,boruta,30,3,0.5,100,no
100,TRUE,0,0,0,svm,30,3,0.5,100,no
300,TRUE,98,0.98,0.014000000000000005,fdr,30,3,0.5,100,no
300,TRUE,5,0.05,0.021794494717703367,tweedie,30,3,0.5,100,no
300,TRUE,39,0.39,0.048774993593028795,lasso,30,3,0.5,100,no
300,TRUE,1,0.01,0.0099498743710662,boruta,30,3,0.5,100,no
300,TRUE,0,0,0,svm,30,3,0.5,100,no
1000,TRUE,96,0.96,0.019595917942265433,fdr,30,3,0.5,100,no
1000,TRUE,5,0.05,0.021794494717703367,tweedie,30,3,0.5,100,no
1000,TRUE,30,0.3,0.0458257569495584,lasso,30,3,0.5,100,no
1000,TRUE,2,0.02,0.014,boruta,30,3,0.5,100,no
1000,TRUE,0,0,0,svm,30,3,0.5,100,no
3000,TRUE,98,0.98,0.014000000000000005,fdr,30,3,0.5,100,no
3000,TRUE,18,0.18,0.03841874542459709,tweedie,30,3,0.5,100,no
3000,TRUE,43,0.43,0.04950757517794625,lasso,30,3,0.5,100,no
3000,TRUE,0,0,0,boruta,30,3,0.5,100,no
3000,TRUE,0,0,0,svm,30,3,0.5,100,no
10000,TRUE,99,0.99,0.009949874371066205,fdr,30,3,0.5,100,no
10000,TRUE,15,0.15,0.035707142142714254,tweedie,30,3,0.5,100,no
10000,TRUE,31,0.31,0.04624932431938871,lasso,30,3,0.5,100,no
10000,TRUE,0,0,0,boruta,30,3,0.5,100,no
10000,TRUE,0,0,0,svm,30,3,0.5,100,no
