p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
30,TRUE,1.33,0.05829877243277014,0.6975,0.02296702799667384,10,10,1.19,400
30,FALSE,0.7075,0.04566258922945396,0.475,0.02496873044429772,10,10,1.19,400
100,TRUE,0.5175,0.03556538508917559,0.405,0.024544602257930356,10,10,1.19,400
100,FALSE,0.99,0.05805752915625435,0.5575,0.024834137291236836,10,10,1.19,400
300,TRUE,0.1925,0.02184725684334185,0.175,0.01899835519196333,10,10,1.19,400
300,FALSE,1.1475,0.059356274253301,0.63,0.024140215409146622,10,10,1.19,400
1000,TRUE,0.0575,0.011654352613384097,0.0575,0.011639775556255371,10,10,1.19,400
1000,FALSE,1.16,0.06181060894738148,0.6325,0.024106210299422844,10,10,1.19,400
3000,TRUE,0.025,0.007816023641463079,0.025,0.007806247497997998,10,10,1.19,400
3000,FALSE,1.3275,0.06791273609795719,0.695,0.023020371413163602,10,10,1.19,400
6000,TRUE,0.0125,0.005562078459710898,0.0125,0.0055551215108222435,10,10,1.19,400
6000,FALSE,1.265,0.07026221921218795,0.6425,0.023963187913965036,10,10,1.19,400
