p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.2375,0.021304202581158664,0.2375,0.0212775556631865,30,1,0.36,400
10,FALSE,1.2625,0.08523289265286575,0.5575,0.024834137291236836,30,1,0.36,400
30,TRUE,0.12,0.016268425066223786,0.12,0.01624807680927192,30,1,0.36,400
30,FALSE,1.6925,0.13052759481243342,0.565,0.024787849846245234,30,1,0.36,400
100,TRUE,0.05,0.010910894511799617,0.05,0.010897247358851683,30,1,0.36,400
100,FALSE,1.9425,0.13976523235568492,0.5925,0.024568463016639848,30,1,0.36,400
300,TRUE,0.0225,0.007424431321732853,0.0225,0.007415144974981945,30,1,0.36,400
300,FALSE,2.225,0.1696921508649204,0.5725,0.02473579137606072,30,1,0.36,400
1000,TRUE,0.0075,0.0043192609365022144,0.0075,0.00431385848168435,30,1,0.36,400
1000,FALSE,2.4675,0.18335459263842838,0.595,0.024544602257930356,30,1,0.36,400
3000,TRUE,0.0125,0.005562078459710898,0.0125,0.0055551215108222435,30,1,0.36,400
3000,FALSE,2.615,0.1917586136651675,0.605,0.024442534647617867,30,1,0.36,400
6000,TRUE,0.0025,0.0025,0.0025,0.0024968730444297725,30,1,0.36,400
6000,FALSE,2.4625,0.17846879882878258,0.6325,0.024106210299422844,30,1,0.36,400
