p,test_auc,pop_lim_auc,pop_full_auc,test_se,pop_lim_se,pop_full_se,auc_sd,auc_sd_se,bias_l,bias_l_se,bias_f,bias_f_se,n,sig_p,d,nsims
30,0.8453125,0.8431404808500018,0.8927061513000051,0.011515241598945295,0.008468481087194338,0.008410212957324031,0.23030483197890592,0.008152702677235236,0.0021720191499981566,0.008104409599638067,-0.04739365130000507,0.01061475388296133,10,10,1.81,400
100,0.695625,0.6949124767500007,0.7741049522000019,0.01365407844135615,0.009223128200817903,0.01065514914723438,0.273081568827123,0.009666982746955132,7.12523249999309e-4,0.010920334429938377,-0.07847995220000191,0.013701033631847345,10,10,1.81,400
300,0.6,0.6118006821499998,0.6949381505000002,0.01481533150554005,0.008136137279105799,0.010260631911614785,0.296306630110801,0.010489141004250128,-0.011800682149999839,0.011895714605840334,-0.09493815050000015,0.015897151655547684,10,10,1.81,400
1000,0.533125,0.52793696075,0.6078013683000001,0.013073880039441783,0.0045039011512521075,0.008498208374173928,0.26147760078883564,0.009256206731187638,0.005188039250000011,0.012426716399221665,-0.07467636830000009,0.015549877257584855,10,10,1.81,400
3000,0.5075,0.5125603701,0.5698439215000001,0.013128617176703383,0.0027861674189984414,0.006965268623689455,0.26257234353406766,0.009294960204283479,-0.005060370099999979,0.012791279568301903,-0.06234392150000007,0.014903808860834977,10,10,1.81,400
6000,0.4990625,0.5079275335999999,0.5378280173,0.01292728929457522,0.0025160684712630136,0.005019999582798188,0.2585457858915044,0.00915242160884674,-0.008865033599999848,0.012719255861754281,-0.03876551729999993,0.01344853954952302,10,10,1.81,400
