p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,0.9,10
100,0.6904285714285714,0.055316057462114265,NA,NA,NA,0.17492473276103432,0.04123015491085733,tweedie,NA,NA,10,1,0.9,10
100,0.525,0.05833333333333333,NA,0.025905381999999928,0.058970777248536624,0.18446619684315546,0.04347909956249591,lasso,0.4990946180000001,9.905230755445705e-4,10,1,0.9,10
100,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.9,10
100,0.525,0.07861650943380503,NA,0.02358999999999999,0.07969666443598641,0.24860723150293831,0.05859728641591386,svm,0.50141,0.001434685408799515,10,1,0.9,10
300,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,0.9,10
300,0.6543333333333333,0.04974018918091371,NA,NA,NA,0.15729228905935236,0.03707414807407422,tweedie,NA,NA,10,1,0.9,10
300,0.425,0.08374896350934075,NA,-0.08911854599999978,0.0786235915862469,0.26483747636784505,0.06242279181734509,lasso,0.5141185459999997,0.013177030879899757,10,1,0.9,10
300,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.9,10
300,0.475,0.07861650943380503,NA,-0.024930000000000008,0.07830574414860422,0.24860723150293831,0.05859728641591386,svm,0.49993,0.0013986541149738699,10,1,0.9,10
1000,1,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,0.9,10
1000,0.7018787878787879,0.05049191344294939,NA,NA,NA,0.15966944989979434,0.0376344502574901,tweedie,NA,NA,10,1,0.9,10
1000,0.5,0.07453559924999298,NA,-0.007628383999999627,0.08140869289347745,0.23570226039551584,0.05555555555555556,lasso,0.5076283839999997,0.008445370247925523,10,1,0.9,10
1000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.9,10
1000,0.525,0.06922186552431729,NA,0.012849999999999995,0.06876840561704997,0.21889875894272828,0.0515949322805742,svm,0.51215,0.009570455115150537,10,1,0.9,10
3000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,0.9,10
3000,0.6029452418926103,0.019184561711937317,NA,NA,NA,0.06066691092178102,0.014299328035477194,tweedie,NA,NA,10,1,0.9,10
3000,0.5,0.06454972243679027,NA,-0.0028223619999997894,0.06506903890309768,0.2041241452319315,0.048112522432468816,lasso,0.5028223619999997,0.001530301856777708,10,1,0.9,10
3000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.9,10
3000,0.4,0.0408248290463863,NA,-0.10679000000000001,0.04020563379538854,0.12909944487358055,0.03042903097250923,svm,0.50679,0.005015940146727791,10,1,0.9,10
10000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,10,1,0.9,10
10000,0.6269025388162467,0.018621867056469288,NA,NA,NA,0.05888751418329833,0.013879920202076417,tweedie,NA,NA,10,1,0.9,10
10000,0.4375,0.09727181274940626,NA,-0.063029546,0.09775053536888847,0.30760048042152915,0.07250212853410104,lasso,0.500529546,0.001756107885152204,10,1,0.9,10
10000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.9,10
10000,0.475,0.05833333333333333,NA,-0.02907000000000002,0.05730644922015515,0.18446619684315546,0.04347909956249591,svm,0.50407,0.002101906541954503,10,1,0.9,10
