p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.059430170059204104,5.612438778359511e-4,fdr,76,10,1.81,25
100,0.01263543128967285,3.6052522512992674e-4,tweedie,76,10,1.81,25
100,1.0581171894073487,0.007166689631467641,lasso,76,10,1.81,25
100,0.7649885082244873,0.023025950316681,boruta,76,10,1.81,25
100,0.9964216613769531,0.007922388540403318,svm,76,10,1.81,25
300,0.1774088668823242,0.0013644391587240606,fdr,76,10,1.81,25
300,0.018376426696777345,3.652758772865424e-4,tweedie,76,10,1.81,25
300,1.1098613166809081,0.008901219638486205,lasso,76,10,1.81,25
300,1.175931167602539,0.029209454711727388,boruta,76,10,1.81,25
300,2.0207291221618653,0.011093822717519849,svm,76,10,1.81,25
1000,0.5822060203552246,0.005013579474519475,fdr,76,10,1.81,25
1000,0.04088724136352539,0.0013845151514898498,tweedie,76,10,1.81,25
1000,1.169299716949463,0.008456748387238866,lasso,76,10,1.81,25
1000,2.6586180782318114,0.020135682302463532,boruta,76,10,1.81,25
1000,4.895861883163452,0.02226807551677108,svm,76,10,1.81,25
3000,1.8099959659576417,0.011607763524086672,fdr,76,10,1.81,25
3000,0.10609299659729005,0.0013586352082334589,tweedie,76,10,1.81,25
3000,4.041787948608398,0.014721076536287025,lasso,76,10,1.81,25
3000,7.16096866607666,0.024227733653279595,boruta,76,10,1.81,25
3000,3.755077295303345,0.02871278150389056,svm,76,10,1.81,25
10000,5.847630910873413,0.034926667278489906,fdr,76,10,1.81,25
10000,0.3286918258666992,0.007652771867476091,tweedie,76,10,1.81,25
10000,5.117441082000733,0.038837572673057,lasso,76,10,1.81,25
10000,24.73074954032898,0.13282929648075484,boruta,76,10,1.81,25
10000,5.105111703872681,0.07885216150268035,svm,76,10,1.81,25
