p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.06847689151763917,0.001964132994203756,fdr,50,10,1.1,100,no
100,0.014619822502136231,4.2929504924860633e-4,tweedie,50,10,1.1,100,no
100,0.47184717178344726,0.006593163273892047,lasso,50,10,1.1,100,no
100,0.8658593225479126,0.021278295285677772,boruta,50,10,1.1,100,no
100,0.933976480960846,0.011786576116834719,svm,50,10,1.1,100,no
300,0.18152703523635863,9.691647529285835e-4,fdr,50,10,1.1,100,no
300,0.020607571601867675,2.645792087322474e-4,tweedie,50,10,1.1,100,no
300,0.46686783075332644,0.0024886547779946018,lasso,50,10,1.1,100,no
300,1.0972054171562196,0.008205622635368885,boruta,50,10,1.1,100,no
300,1.7466769790649415,0.005413387260391217,svm,50,10,1.1,100,no
1000,0.568712306022644,0.0038698763649968777,fdr,50,10,1.1,100,no
1000,0.03916531324386597,2.714980590220424e-4,tweedie,50,10,1.1,100,no
1000,0.5666547179222107,0.0027875953031013577,lasso,50,10,1.1,100,no
1000,2.2383858728408814,0.00956651132363753,boruta,50,10,1.1,100,no
1000,4.324515502452851,0.011503787698168674,svm,50,10,1.1,100,no
3000,1.5820232224464417,0.005645501535683099,fdr,50,10,1.1,100,no
3000,0.10065155267715455,5.619904988574388e-4,tweedie,50,10,1.1,100,no
3000,3.1201158785820007,0.012175444644569898,lasso,50,10,1.1,100,no
3000,5.248004012107849,0.021464905054371132,boruta,50,10,1.1,100,no
3000,3.017578582763672,0.014630341316418308,svm,50,10,1.1,100,no
10000,5.335341918468475,0.015032888743694947,fdr,50,10,1.1,100,no
10000,0.3105531048774719,9.716188572174262e-4,tweedie,50,10,1.1,100,no
10000,4.398892405033112,0.0157584924632402,lasso,50,10,1.1,100,no
10000,20.194932391643523,0.05568743609308684,boruta,50,10,1.1,100,no
10000,4.2907831621170045,0.0350775288532663,svm,50,10,1.1,100,no
