p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.8069444444444445,0.04449092311763048,NA,NA,NA,0.1258393337509034,0.0336319766196985,fdr,NA,NA,30,3,1.1,10
100,0.5947936507936508,0.023870360841515982,NA,NA,NA,0.07548470882928407,0.017791916496359608,tweedie,NA,NA,30,3,1.1,10
100,0.674,0.05601983775612192,NA,0.013593120000000503,0.049303113142330025,0.17715028146244147,0.04175472177039931,lasso,0.6604068799999995,0.038715414629962024,30,3,1.1,10
100,0.7000000000000001,0.0447213595499958,NA,0.047580000000000046,0.04397979283463915,0.14142135623730953,0.03333333333333334,boruta,0.65242,0.013999998412698316,30,3,1.1,10
100,0.68,0.035901098714230036,NA,0.035560000000000036,0.03575499716434366,0.11352924243950938,0.02675909906398289,svm,0.64444,0.022114295024812443,30,3,1.1,10
300,0.9333333333333333,0.029814239699997188,NA,NA,NA,0.06666666666666665,0.023570226039551577,fdr,NA,NA,30,3,1.1,10
300,0.7085079365079365,0.05296126199109045,NA,NA,NA,0.16747821564875004,0.03947499399541804,tweedie,NA,NA,30,3,1.1,10
300,0.644,0.0572557614762237,NA,0.004645151999999475,0.015631526614339135,0.18105861543219154,0.042675924921449976,lasso,0.6393548480000005,0.04665618829343608,30,3,1.1,10
300,0.6,0.05374838498865699,NA,-0.002149999999999991,0.04511639330048939,0.1699673171197595,0.040061680838488774,boruta,0.60215,0.027013166542755897,30,3,1.1,10
300,0.61,0.03785938897200183,NA,0.016230000000000005,0.04360427107010912,0.11972189997378649,0.028218722442667328,svm,0.59377,0.02598844208917152,30,3,1.1,10
1000,0.9333333333333333,0,NA,NA,NA,0,0,fdr,NA,NA,30,3,1.1,10
1000,0.7166031746031746,0.052275518924089014,NA,NA,NA,0.16530970566735606,0.03896387129111324,tweedie,NA,NA,30,3,1.1,10
1000,0.638,0.05081119736610994,NA,0.07025838600000008,0.0461429724717114,0.16067911431725587,0.03787243044292671,lasso,0.5677416139999999,0.03640603971981421,30,3,1.1,10
1000,0.5800000000000001,0.053333333333333344,NA,0.03711000000000001,0.0484724124287895,0.1686548085423136,0.039752319599996276,boruta,0.54289,0.01645793594456959,30,3,1.1,10
1000,0.53,0.03000000000000001,NA,1.1000000000001564e-4,0.030460967555946822,0.09486832980505142,0.022360679774997907,svm,0.52989,0.013965970149696803,30,3,1.1,10
3000,0.9333333333333333,0,NA,NA,NA,0,0,fdr,NA,NA,30,3,1.1,10
3000,0.7479717813051147,0.04509226299216169,NA,NA,NA,0.13527678897648507,0.03381919724412127,tweedie,NA,NA,30,3,1.1,10
3000,0.53,0.030000000000000002,NA,0.008655327999999973,0.008655327999999973,0.09486832980505139,0.0223606797749979,lasso,0.521344672,0.02134467200000003,30,3,1.1,10
3000,0.55,0.04533823502911815,NA,0.021330000000000005,0.03784803253362938,0.1433720877840438,0.03379312516832345,boruta,0.52867,0.012216846747194808,30,3,1.1,10
3000,0.54,0.0669991708074726,NA,0.009809999999999996,0.06331337659259342,0.21186998109427607,0.04993823345387608,svm,0.53019,0.009092444360261137,30,3,1.1,10
10000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,30,3,1.1,10
10000,0.8078571428571428,0.04148084878310274,NA,NA,NA,0.12444254634930822,0.031110636587327056,tweedie,NA,NA,30,3,1.1,10
10000,0.52,0.05042045440317076,NA,0.018017083999999833,0.051049197313009095,0.1594434765746853,0.03758118783397281,lasso,0.5019829160000002,0.0021367898228361755,30,3,1.1,10
10000,0.48000000000000004,0.0592546294487706,NA,-0.039449999999999985,0.05607393185191613,0.18737959096740264,0.04416579314300399,boruta,0.51945,0.01155937570401908,30,3,1.1,10
10000,0.42,0.05537749241945383,NA,-0.10001000000000002,0.05107200679215355,0.17511900715418263,0.04127594582445936,svm,0.52001,0.006821118350795236,30,3,1.1,10
