p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.05108721256256103,3.435455283029346e-4,fdr,10,1,0.9,100,no
100,0.013869094848632812,1.669190628316167e-4,tweedie,10,1,0.9,100,no
100,0.4371708178520203,0.003906949407599261,lasso,10,1,0.9,100,no
100,0.11716826677322388,0.0018315363945801838,boruta,10,1,0.9,100,no
100,0.7505666303634644,0.002824326698368489,svm,10,1,0.9,100,no
300,0.14751100540161133,7.437328081829244e-4,fdr,10,1,0.9,100,no
300,0.019726758003234864,2.1743497498340694e-4,tweedie,10,1,0.9,100,no
300,0.4561460900306702,0.004143818663655296,lasso,10,1,0.9,100,no
300,0.2788065838813782,7.318040212857137e-4,boruta,10,1,0.9,100,no
300,1.444961142539978,0.00697646208349139,svm,10,1,0.9,100,no
1000,0.4652746844291687,0.002474486842322762,fdr,10,1,0.9,100,no
1000,0.03916353702545166,2.8207137913238077e-4,tweedie,10,1,0.9,100,no
1000,0.5401186180114746,0.003848038650842044,lasso,10,1,0.9,100,no
1000,0.957046058177948,0.003635606611349008,boruta,10,1,0.9,100,no
1000,3.601373105049133,0.012951807451204358,svm,10,1,0.9,100,no
3000,1.369170892238617,0.006096746306360521,fdr,10,1,0.9,100,no
3000,0.1037293004989624,6.628784443750545e-4,tweedie,10,1,0.9,100,no
3000,3.28563481092453,0.018769283692624747,lasso,10,1,0.9,100,no
3000,3.0093835949897767,0.01347815477596257,boruta,10,1,0.9,100,no
3000,2.7209035181999206,0.01740848404384062,svm,10,1,0.9,100,no
10000,4.698304407596588,0.018539755728672884,fdr,10,1,0.9,100,no
10000,0.33155797004699705,0.003167601396824281,tweedie,10,1,0.9,100,no
10000,4.784752852916718,0.031065946156457754,lasso,10,1,0.9,100,no
10000,12.404130170345306,0.06860522791740882,boruta,10,1,0.9,100,no
10000,4.043823606967926,0.03802286036471286,svm,10,1,0.9,100,no
