p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06672594547271729,0.003545724093092039,fdr,10,1,0.9,10
100,0.01565220355987549,7.434398927026667e-4,tweedie,10,1,0.9,10
100,2.1350994348526,0.02757459092111912,lasso,10,1,0.9,10
100,0.12771668434143066,0.003282420852877703,boruta,10,1,0.9,10
100,0.9876900911331177,0.02885915705563481,svm,10,1,0.9,10
300,0.16826534271240234,0.002834019381204724,fdr,10,1,0.9,10
300,0.02072927951812744,4.5292043548301905e-4,tweedie,10,1,0.9,10
300,2.0395073652267457,0.027971756846976843,lasso,10,1,0.9,10
300,0.31915719509124757,0.004892369672016328,boruta,10,1,0.9,10
300,1.7566309928894044,0.027307205993033226,svm,10,1,0.9,10
1000,0.5039363145828247,0.004586545952464631,fdr,10,1,0.9,10
1000,0.04221193790435791,0.002163187160230113,tweedie,10,1,0.9,10
1000,2.1186721563339233,0.010920717114931224,lasso,10,1,0.9,10
1000,1.0548992395401,0.03002142585653547,boruta,10,1,0.9,10
1000,3.9972556114196776,0.03858338646831862,svm,10,1,0.9,10
3000,1.4691884517669678,0.015122883887092979,fdr,10,1,0.9,10
3000,0.10500986576080322,0.0017921374200373257,tweedie,10,1,0.9,10
3000,5.108672833442688,0.036302176617031084,lasso,10,1,0.9,10
3000,3.261429715156555,0.05071618630980687,boruta,10,1,0.9,10
3000,3.062693881988525,0.03179783756524105,svm,10,1,0.9,10
10000,4.910113763809204,0.044233632929340676,fdr,10,1,0.9,10
10000,0.3553273677825928,0.027258152573670407,tweedie,10,1,0.9,10
10000,6.456100797653198,0.06321292588496355,lasso,10,1,0.9,10
10000,12.515165710449219,0.0947346090975992,boruta,10,1,0.9,10
10000,4.163946628570557,0.10792373646908468,svm,10,1,0.9,10
