p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.8541666666666667,0.010796641159057768,NA,NA,NA,0.030537512710430138,0.008161493571906004,fdr,NA,NA,30,3,1.3,10,block
100,0.7100396825396825,0.0398590452874081,NA,NA,NA,0.12604536846801037,0.029709178260295725,tweedie,NA,NA,30,3,1.3,10,block
100,0.732,0.07654773383683906,NA,0.05443375599999845,0.043915967827962685,0.24206518864875132,0.057055312127577654,lasso,0.6775662440000015,0.04875446096558239,30,3,1.3,10,block
100,0.68,0.05537749241945383,NA,-0.012639999999999946,0.0447721669492703,0.17511900715418263,0.04127594582445936,boruta,0.69264,0.016959174508212375,30,3,1.3,10,block
100,0.61,0.06904105059069325,NA,-0.03135999999999999,0.04288940609935694,0.2183269719175042,0.05146016078626405,svm,0.64136,0.03306947299919435,30,3,1.3,10,block
300,0.9142857142857143,0.017604026200649863,NA,NA,NA,0.046575875400384784,0.013445297100077313,fdr,NA,NA,30,3,1.3,10,block
300,0.6933333333333334,0.05070369017666134,NA,NA,NA,0.16033914673375507,0.03779229931503437,tweedie,NA,NA,30,3,1.3,10,block
300,0.602,0.060033324079214544,NA,-0.05054651599999991,0.05344830779165847,0.1898420396013486,0.0447461978521329,lasso,0.6525465159999999,0.044696699440820144,30,3,1.3,10,block
300,0.5666666666666667,0.05527707983925667,NA,-0.06647777777777776,0.046731121493597615,0.16583123951777,0.0414578098794425,boruta,0.6331444444444444,0.021127950886017682,30,3,1.3,10,block
300,0.66,0.07333333333333333,NA,0.08416000000000003,0.06582246019913467,0.23190036174568116,0.054659439449994865,svm,0.57584,0.028222462291192414,30,3,1.3,10,block
1000,0.9222222222222223,0.01111111111111111,NA,NA,NA,0.01924500897298752,0.00962250448649376,fdr,NA,NA,30,3,1.3,10,block
1000,0.6947777777777777,0.03494540127053698,NA,NA,NA,0.1105070617634388,0.026046764247309406,tweedie,NA,NA,30,3,1.3,10,block
1000,0.628,0.06601010023726166,NA,-0.006972914000000196,0.06764947442705849,0.208742265325768,0.04920102377736403,lasso,0.6349729140000002,0.048712746367882656,30,3,1.3,10,block
1000,0.64,0.04988876515698589,NA,0.028450000000000013,0.049067104277939845,0.15776212754932312,0.037184890068181146,boruta,0.61155,0.027072385479590733,30,3,1.3,10,block
1000,0.62,0.029059326290271165,NA,0.02494000000000004,0.033054494399400516,0.09189365834726818,0.021659542988464373,svm,0.59506,0.01779199695243778,30,3,1.3,10,block
3000,0.9666666666666667,0.033333333333333326,NA,NA,NA,0.04714045207910316,0.033333333333333326,fdr,NA,NA,30,3,1.3,10,block
3000,0.8214444444444444,0.039846085910842814,NA,NA,NA,0.12600438732100824,0.029699518911313724,tweedie,NA,NA,30,3,1.3,10,block
3000,0.508,0.03968766950969924,NA,-0.019878574000000225,0.021909877017157513,0.12550343067466765,0.02958144229741109,lasso,0.5278785740000003,0.023226298921128943,30,3,1.3,10,block
3000,0.58,0.05120763831912405,NA,0.03995,0.04434212506810602,0.16193277068654827,0.03816792008292816,boruta,0.54005,0.014460738032494893,30,3,1.3,10,block
3000,0.54,0.037118429085533484,NA,-0.00643999999999999,0.03474389218905166,0.11737877907772676,0.027666443551086082,svm,0.54644,0.008749872380021713,30,3,1.3,10,block
