p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,71,0.71,0.04537620521815371,fdr,30,3,0.95,100,block
100,TRUE,6,0.06,0.023748684174075833,tweedie,30,3,0.95,100,block
100,TRUE,27,0.27,0.044395945760846225,lasso,30,3,0.95,100,block
100,TRUE,11,0.11,0.03128897569432403,boruta,30,3,0.95,100,block
100,TRUE,0,0,0,svm,30,3,0.95,100,block
300,TRUE,83,0.83,0.037563279941985904,fdr,30,3,0.95,100,block
300,TRUE,4,0.04,0.019595917942265423,tweedie,30,3,0.95,100,block
300,TRUE,35,0.35,0.047696960070847276,lasso,30,3,0.95,100,block
300,TRUE,2,0.02,0.014,boruta,30,3,0.95,100,block
300,TRUE,0,0,0,svm,30,3,0.95,100,block
1000,TRUE,91,0.91,0.028618176042508364,fdr,30,3,0.95,100,block
1000,TRUE,8,0.08,0.027129319932501072,tweedie,30,3,0.95,100,block
1000,TRUE,40,0.4,0.04898979485566356,lasso,30,3,0.95,100,block
1000,TRUE,1,0.01,0.0099498743710662,boruta,30,3,0.95,100,block
1000,TRUE,0,0,0,svm,30,3,0.95,100,block
3000,TRUE,91,0.91,0.028618176042508364,fdr,30,3,0.95,100,block
3000,TRUE,20,0.2,0.04,tweedie,30,3,0.95,100,block
3000,TRUE,36,0.36,0.048,lasso,30,3,0.95,100,block
3000,TRUE,0,0,0,boruta,30,3,0.95,100,block
3000,TRUE,0,0,0,svm,30,3,0.95,100,block
