p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.7735341365461847,0.00604173224167273,NA,NA,NA,0.055042800290733995,0.004298120593143594,fdr,NA,NA,50,10,0.7,100,block
100,0.6514608883180312,0.008240658733330297,NA,NA,NA,0.08157835940494798,0.005856984870143249,tweedie,NA,NA,50,10,0.7,100,block
100,0.7187654320987654,0.014904258819606067,NA,0.048090019298765344,0.012869453646002916,0.14904258819606067,0.010591995523631461,lasso,0.6706754128000001,0.005820987444821902,50,10,0.7,100,block
100,0.6386025200458191,0.01143116366258778,NA,0.015037571592210775,0.01083297638514178,0.11258390542188577,0.00812504351271814,boruta,0.6235649484536082,0.0028188198529671563,50,10,0.7,100,block
100,0.6255555555555555,0.014028368102168062,NA,0.01735255555555558,0.01306623070389687,0.14028368102168062,0.009969527095608088,svm,0.6082029999999999,0.0045629386364491025,50,10,0.7,100,block
300,0.7991071428571429,0.008200874144546658,NA,NA,NA,0.06136972264189286,0.005851373465142302,fdr,NA,NA,50,10,0.7,100,block
300,0.6886327852843004,0.009444510684422385,NA,NA,NA,0.09397169480619517,0.006712263914728227,tweedie,NA,NA,50,10,0.7,100,block
300,0.6485802469135803,0.014037977164936396,NA,0.03779817691358037,0.01162276458561481,0.14037977164936397,0.00997635595916047,lasso,0.6107820699999998,0.007190042763882211,50,10,0.7,100,block
300,0.609375,0.011472353936110537,NA,0.022840625000000017,0.010371325397877895,0.11240565316832392,0.00815476317517222,boruta,0.5865343749999999,0.0040019136946681366,50,10,0.7,100,block
300,0.5905555555555556,0.01201837455102537,NA,0.016239555555555577,0.011038145355194607,0.1201837455102537,0.008541086879028822,svm,0.5743159999999999,0.00455613688037654,50,10,0.7,100,block
1000,0.8268686868686869,0.011840284089224355,NA,NA,NA,0.06801725370335678,0.008502156712919597,fdr,NA,NA,50,10,0.7,100,block
1000,0.7475460317460317,0.007924210716554622,NA,NA,NA,0.07723565219918918,0.0056329888756845355,tweedie,NA,NA,50,10,0.7,100,block
1000,0.5745061728395062,0.012611935865985085,NA,0.004304698839506203,0.009227313075414818,0.12611935865985086,0.008962912537530121,lasso,0.570201474,0.007428510314435842,50,10,0.7,100,block
1000,0.5572390572390572,0.01239451536962494,NA,0.006673400673400681,0.011643243438326855,0.1233238708180173,0.008808847915572664,boruta,0.5505656565656566,0.0045641182443733035,50,10,0.7,100,block
1000,0.5638888888888889,0.01256917509679105,NA,0.011060888888888891,0.011802229422488998,0.1256917509679105,0.008932523782116503,svm,0.552828,0.004066042197458746,50,10,0.7,100,block
3000,0.7887500000000001,0.026926431426012892,NA,NA,NA,0.1319120351755464,0.01944936850665616,fdr,NA,NA,50,10,0.7,100,block
3000,0.7645326086956522,0.00935884147075652,NA,NA,NA,0.08976685389428098,0.006653961910795268,tweedie,NA,NA,50,10,0.7,100,block
3000,0.5714814814814815,0.012648481371985338,NA,0.02226427048148138,0.01031085449778271,0.12648481371985337,0.008988884297726228,lasso,0.5492172110000001,0.007396813763391741,50,10,0.7,100,block
3000,0.5222222222222223,0.011111111111111112,NA,-0.01581277777777776,0.011562062701409968,0.11111111111111112,0.007896322827985573,boruta,0.538035,0.0041343912074894,50,10,0.7,100,block
3000,0.5522222222222223,0.0109932015404858,NA,0.010637222222222227,0.010703502371756515,0.109932015404858,0.007812528144910576,svm,0.541585,0.0025981743298872087,50,10,0.7,100,block
