p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,1,0,0.9,0.09999999999999998,0,0,0,fdr,NA,NA,10,1,1.81,100,no
100,0.7232537569893381,0.016214192598751644,0.9,-0.17674624301066189,0.016214192598751644,0.16051231753258824,0.011524112793116274,tweedie,NA,NA,10,1,1.81,100,no
100,0.5275,0.025287488422282484,NA,-0.004907723999999876,0.023487938288135723,0.25287488422282484,0.017971035488216103,lasso,0.5324077239999999,0.009954333018105867,10,1,1.81,100,no
100,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,100,no
100,0.5275,0.025099549273590028,NA,-0.006674000000000004,0.023986931400664865,0.25099549273590027,0.017837472951107786,svm,0.534174,0.007135127871129833,10,1,1.81,100,no
300,1,0,0.9,0.09999999999999998,0,0,0,fdr,NA,NA,10,1,1.81,100,no
300,0.6930263347763348,0.015273293815960282,0.9,-0.20697366522366523,0.015273293815960282,0.15273293815960282,0.010854257275574822,tweedie,NA,NA,10,1,1.81,100,no
300,0.5125,0.027206886011902326,NA,-0.001845627400000015,0.027004890118710507,0.27206886011902326,0.01933509195847671,lasso,0.5143456274,0.00747822512907999,10,1,1.81,100,no
300,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,100,no
300,0.53,0.023645103279345367,NA,0.013552000000000008,0.023571970792241853,0.23645103279345367,0.01680384319152942,svm,0.516448,0.004696616981477952,10,1,1.81,100,no
1000,1,0,0.9,0.09999999999999998,0,0,0,fdr,NA,NA,10,1,1.81,100,no
1000,0.6770100011100011,0.013436373901764364,0.9,-0.22298999888999893,0.013436373901764364,0.13436373901764365,0.009548815136926637,tweedie,NA,NA,10,1,1.81,100,no
1000,0.495,0.024868340182536176,NA,-0.00457173520000004,0.024821234826920273,0.24868340182536178,0.017673159804972416,lasso,0.49957173520000003,4.902394485944224e-4,10,1,1.81,100,no
1000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,100,no
1000,0.5125,0.023670454242375745,NA,0.005650999999999998,0.023882132854644047,0.23670454242375746,0.016821859336457357,svm,0.506849,0.0020133285646140595,10,1,1.81,100,no
3000,1,0,0.9,0.09999999999999998,0,0,0,fdr,NA,NA,10,1,1.81,100,no
3000,0.6136101636667426,0.009421155840269651,0.9,-0.28638983633325743,0.009421155840269651,0.09421155840269652,0.006695323913477776,tweedie,NA,NA,10,1,1.81,100,no
3000,0.48125,0.02595249885790763,NA,-0.018678533200000038,0.025993384101282387,0.2595249885790763,0.018443637825746893,lasso,0.4999285332,4.6617432516835196e-4,10,1,1.81,100,no
3000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,100,no
3000,0.5275,0.021583464958063604,NA,0.024773000000000003,0.021447854162874178,0.21583464958063606,0.015338700634984588,svm,0.502727,0.001023952389005219,10,1,1.81,100,no
10000,1,0,0.9,0.09999999999999998,0,0,0,fdr,NA,NA,10,1,1.81,100,no
10000,0.6060857554398101,0.007723821837705587,0.9,-0.2939142445601899,0.007723821837705587,0.07723821837705587,0.005489081162673129,tweedie,NA,NA,10,1,1.81,100,no
10000,0.47375,0.025081621808113852,NA,-0.026139648999999994,0.02520992715727341,0.2508162180811385,0.017824732456167915,lasso,0.499889649,4.5228402098460816e-4,10,1,1.81,100,no
10000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,1.81,100,no
10000,0.5275,0.025597654169667562,NA,0.024745,0.0256425607923604,0.2559765416966756,0.01819146068665434,svm,0.502755,7.70520452471424e-4,10,1,1.81,100,no
