p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,10,0,1,0,fdr,50,10,1.81,10
100,FALSE,0.4,0.1632993161855452,0.4,0.15491933384829668,fdr,50,10,1.81,10
100,TRUE,9.4,0.22110831935702663,1,0,tweedie,50,10,1.81,10
100,FALSE,46,4.652359019298107,1,0,tweedie,50,10,1.81,10
100,TRUE,7.5,0.47726070210921173,1,0,lasso,50,10,1.81,10
100,FALSE,4.1,0.5666666666666667,1,0,lasso,50,10,1.81,10
100,TRUE,9.7,0.15275252316519466,1,0,boruta,50,10,1.81,10
100,FALSE,1.1,0.348010216963685,0.7,0.14491376746189438,boruta,50,10,1.81,10
100,TRUE,2,0,1,0,svm,50,10,1.81,10
100,FALSE,0,0,0,0,svm,50,10,1.81,10
300,TRUE,10,0,1,0,fdr,50,10,1.81,10
300,FALSE,0.5,0.16666666666666666,0.5,0.15811388300841897,fdr,50,10,1.81,10
300,TRUE,9.2,0.19999999999999998,1,0,tweedie,50,10,1.81,10
300,FALSE,21,5.257798440834761,0.8,0.12649110640673517,tweedie,50,10,1.81,10
300,TRUE,7.9,0.2333333333333333,1,0,lasso,50,10,1.81,10
300,FALSE,4.7,0.8698658900466593,1,0,lasso,50,10,1.81,10
300,TRUE,9.5,0.16666666666666666,1,0,boruta,50,10,1.81,10
300,FALSE,1.1,0.2333333333333333,0.8,0.12649110640673517,boruta,50,10,1.81,10
300,TRUE,2.9,0.09999999999999999,1,0,svm,50,10,1.81,10
300,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,svm,50,10,1.81,10
1000,TRUE,10,0,1,0,fdr,50,10,1.81,10
1000,FALSE,0.8,0.3265986323710904,0.5,0.15811388300841897,fdr,50,10,1.81,10
1000,TRUE,10,0,1,0,tweedie,50,10,1.81,10
1000,FALSE,1.5,0.4281744192888376,0.7,0.14491376746189438,tweedie,50,10,1.81,10
1000,TRUE,8.3,0.44845413490245695,1,0,lasso,50,10,1.81,10
1000,FALSE,6.7,1.0005554013202422,1,0,lasso,50,10,1.81,10
1000,TRUE,9.3,0.2603416558635551,1,0,boruta,50,10,1.81,10
1000,FALSE,3,0.7745966692414833,0.8,0.12649110640673517,boruta,50,10,1.81,10
1000,TRUE,7.4,0.339934634239519,1,0,svm,50,10,1.81,10
1000,FALSE,2.6,0.339934634239519,1,0,svm,50,10,1.81,10
3000,TRUE,9.8,0.13333333333333333,1,0,fdr,50,10,1.81,10
3000,FALSE,0.2,0.13333333333333333,0.2,0.1264911064067352,fdr,50,10,1.81,10
3000,TRUE,9.8,0.13333333333333333,1,0,tweedie,50,10,1.81,10
3000,FALSE,1.6,0.541602560309064,0.8,0.12649110640673517,tweedie,50,10,1.81,10
3000,TRUE,7.8,0.3265986323710904,1,0,lasso,50,10,1.81,10
3000,FALSE,9.3,1.054619467970425,1,0,lasso,50,10,1.81,10
3000,TRUE,8.4,0.339934634239519,1,0,boruta,50,10,1.81,10
3000,FALSE,5.7,0.44845413490245695,1,0,boruta,50,10,1.81,10
3000,TRUE,9.4,0.22110831935702663,1,0,svm,50,10,1.81,10
3000,FALSE,20.6,0.22110831935702663,1,0,svm,50,10,1.81,10
10000,TRUE,9.5,0.16666666666666666,1,0,fdr,50,10,1.81,10
10000,FALSE,0.6,0.26666666666666666,0.4,0.15491933384829668,fdr,50,10,1.81,10
10000,TRUE,9.7,0.15275252316519466,1,0,tweedie,50,10,1.81,10
10000,FALSE,2.6,0.541602560309064,1,0,tweedie,50,10,1.81,10
10000,TRUE,7.8,0.3590109871423003,1,0,lasso,50,10,1.81,10
10000,FALSE,11.8,0.9521904571390466,1,0,lasso,50,10,1.81,10
10000,TRUE,7.3,0.3958114029012639,1,0,boruta,50,10,1.81,10
10000,FALSE,7.1,0.7371114795831993,1,0,boruta,50,10,1.81,10
10000,TRUE,9.6,0.1632993161855452,1,0,svm,50,10,1.81,10
10000,FALSE,90.4,0.1632993161855452,1,0,svm,50,10,1.81,10
