p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,18,0.18,0.03841874542459709,fdr,50,10,1.1,100,block
100,TRUE,0,0,0,tweedie,50,10,1.1,100,block
100,TRUE,6,0.06,0.023748684174075833,lasso,50,10,1.1,100,block
100,TRUE,8,0.08,0.027129319932501072,boruta,50,10,1.1,100,block
100,TRUE,0,0,0,svm,50,10,1.1,100,block
300,TRUE,23,0.23,0.042083250825001625,fdr,50,10,1.1,100,block
300,TRUE,3,0.03,0.01705872210923198,tweedie,50,10,1.1,100,block
300,TRUE,19,0.19,0.039230090491866064,lasso,50,10,1.1,100,block
300,TRUE,0,0,0,boruta,50,10,1.1,100,block
300,TRUE,0,0,0,svm,50,10,1.1,100,block
1000,TRUE,43,0.43,0.04950757517794625,fdr,50,10,1.1,100,block
1000,TRUE,2,0.02,0.014,tweedie,50,10,1.1,100,block
1000,TRUE,29,0.29,0.045376205218153706,lasso,50,10,1.1,100,block
1000,TRUE,0,0,0,boruta,50,10,1.1,100,block
1000,TRUE,0,0,0,svm,50,10,1.1,100,block
3000,TRUE,54,0.54,0.04983974317750845,fdr,50,10,1.1,100,block
3000,TRUE,3,0.03,0.01705872210923198,tweedie,50,10,1.1,100,block
3000,TRUE,24,0.24,0.04270831300812525,lasso,50,10,1.1,100,block
3000,TRUE,0,0,0,boruta,50,10,1.1,100,block
3000,TRUE,0,0,0,svm,50,10,1.1,100,block
