p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.05335962772369385,0.0012171916108196675,fdr,30,3,1.3,10,block
100,0.01356179714202881,0.00049363988975674965,tweedie,30,3,1.3,10,block
100,0.42584335803985596,0.016586373884750313,lasso,30,3,1.3,10,block
100,0.5346280097961426,0.01559224458749123,boruta,30,3,1.3,10,block
100,0.7968849897384643,0.005825459943097383,svm,30,3,1.3,10,block
300,0.15482711791992188,0.0030640863346593178,fdr,30,3,1.3,10,block
300,0.018871092796325685,2.5145536186853214e-4,tweedie,30,3,1.3,10,block
300,0.450062894821167,0.014407820165335063,lasso,30,3,1.3,10,block
300,0.7510570287704468,0.027730609106736578,boruta,30,3,1.3,10,block
300,1.5334454298019409,0.005314519585336758,svm,30,3,1.3,10,block
1000,0.49619481563568113,0.004105431212296539,fdr,30,3,1.3,10,block
1000,0.03893265724182129,7.027410527926165e-4,tweedie,30,3,1.3,10,block
1000,0.5246573925018311,0.013939760430445076,lasso,30,3,1.3,10,block
1000,1.5755255699157715,0.02772486247791497,boruta,30,3,1.3,10,block
1000,3.8411284923553466,0.03512255991866944,svm,30,3,1.3,10,block
3000,1.475545072555542,0.013346849891532118,fdr,30,3,1.3,10,block
3000,0.09746487140655517,0.00174949791353529,tweedie,30,3,1.3,10,block
3000,3.2622747898101805,0.038223288572321976,lasso,30,3,1.3,10,block
3000,4.336015248298645,0.02705296506333721,boruta,30,3,1.3,10,block
3000,2.8354962825775147,0.041100807627620556,svm,30,3,1.3,10,block
