p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,NA,NA,0.6,NA,NA,NA,NA,fdr,NA,NA,10,1,0.36,10
100,0.7776666666666666,0.06211906130792526,0.6,0.17766666666666664,0.06211906130792526,0.196437719844682,0.046300814594332634,tweedie,NA,NA,10,1,0.36,10
100,0.525,0.05833333333333333,NA,0.025905381999999928,0.058970777248536624,0.18446619684315546,0.04347909956249591,lasso,0.4990946180000001,9.905230755445705e-4,10,1,0.36,10
100,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.36,10
100,0.5,0.08333333333333333,NA,-0.0011200000000000099,0.08419103515220608,0.26352313834736496,0.06211299937499417,svm,0.50112,0.0016046321835375406,10,1,0.36,10
300,NA,NA,0.6,NA,NA,NA,NA,fdr,NA,NA,10,1,0.36,10
300,0.6396666666666666,0.04406630806152064,0.6,0.03966666666666663,0.04406630806152064,0.1393499015490445,0.03284508678100238,tweedie,NA,NA,10,1,0.36,10
300,0.4,0.07637626158259733,NA,-0.1008835519999998,0.07602301764049685,0.24152294576982397,0.05692750425533111,lasso,0.5008835519999998,0.0010332957254195324,10,1,0.36,10
300,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.36,10
300,0.45,0.07264831572567788,NA,-0.05044000000000001,0.07222233449563921,0.22973414586817037,0.05414885747116092,svm,0.50044,0.0014372195378577366,10,1,0.36,10
1000,NA,NA,0.6,NA,NA,NA,NA,fdr,NA,NA,10,1,0.36,10
1000,0.6968787878787879,0.04965289270633407,0.6,0.0968787878787879,0.04965289270633407,0.1570162333679777,0.03700908112362217,tweedie,NA,NA,10,1,0.36,10
1000,0.5,0.07453559924999298,NA,0.001402268000000062,0.07452851282341022,0.23570226039551584,0.05555555555555556,lasso,0.49859773199999996,0.0012925432734272274,10,1,0.36,10
1000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.36,10
1000,0.525,0.06922186552431729,NA,0.023289999999999988,0.06895371305770592,0.21889875894272828,0.0515949322805742,svm,0.50171,0.00280932771712775,10,1,0.36,10
3000,NA,NA,0.6,NA,NA,NA,NA,fdr,NA,NA,10,1,0.36,10
3000,0.6045361509835194,0.020201600080039822,0.6,0.004536150983519449,0.020201600080039822,0.06388306863276567,0.015057383677744746,tweedie,NA,NA,10,1,0.36,10
3000,0.5,0.06454972243679027,NA,-0.0028223619999997894,0.06506903890309768,0.2041241452319315,0.048112522432468816,lasso,0.5028223619999997,0.001530301856777708,10,1,0.36,10
3000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.36,10
3000,0.375,0.041666666666666664,NA,-0.12608999999999998,0.041735932959501454,0.13176156917368248,0.031056499687497085,svm,0.50109,0.0012689847210357597,10,1,0.36,10
10000,NA,NA,0.6,NA,NA,NA,NA,fdr,NA,NA,10,1,0.36,10
10000,0.6269025388162467,0.018621867056469288,0.6,0.026902538816246713,0.018621867056469288,0.05888751418329833,0.013879920202076417,tweedie,NA,NA,10,1,0.36,10
10000,0.4375,0.09727181274940626,NA,-0.0630266260000002,0.09774790624607456,0.30760048042152915,0.07250212853410104,lasso,0.5005266260000002,0.001759176872616005,10,1,0.36,10
10000,NA,NA,NA,NA,NA,NA,NA,boruta,NA,NA,10,1,0.36,10
10000,0.475,0.05833333333333333,NA,-0.027190000000000002,0.058226136647461756,0.18446619684315546,0.04347909956249591,svm,0.50219,4.768997099321147e-4,10,1,0.36,10
