p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06214439868927002,0.0022252992631356916,fdr,30,3,0.3,10
100,0.014664125442504884,3.1128187494376474e-4,tweedie,30,3,0.3,10
100,2.033341908454895,0.04183923396664663,lasso,30,3,0.3,10
100,0.539549732208252,0.049291664357826816,boruta,30,3,0.3,10
100,1.0193302869796752,0.06395164902033042,svm,30,3,0.3,10
300,0.1772796630859375,0.0021823931886691913,fdr,30,3,0.3,10
300,0.022110176086425782,0.0014989543152751253,tweedie,30,3,0.3,10
300,2.016082501411438,0.01348532707809384,lasso,30,3,0.3,10
300,0.8281569004058837,0.03781650016986542,boruta,30,3,0.3,10
300,1.761063289642334,0.014836990907917891,svm,30,3,0.3,10
1000,0.5454013109207153,0.0038331167858506945,fdr,30,3,0.3,10
1000,0.04098756313323974,0.0014363338163326676,tweedie,30,3,0.3,10
1000,2.0807825326919556,0.005428916281435699,lasso,30,3,0.3,10
1000,1.6998867034912108,0.0276126789110798,boruta,30,3,0.3,10
1000,4.228591060638427,0.0439879109729196,svm,30,3,0.3,10
3000,1.6165064096450805,0.015568196801085359,fdr,30,3,0.3,10
3000,0.11306266784667969,0.003658510170354406,tweedie,30,3,0.3,10
3000,4.900499987602234,0.02086557253676982,lasso,30,3,0.3,10
3000,4.720093703269958,0.05885683035044247,boruta,30,3,0.3,10
3000,3.1399111986160277,0.05184061579177,svm,30,3,0.3,10
10000,5.638764429092407,0.04661296067577097,fdr,30,3,0.3,10
10000,0.38098466396331787,0.00693876503370376,tweedie,30,3,0.3,10
10000,6.393392944335938,0.055049585132232896,lasso,30,3,0.3,10
10000,17.817018914222718,0.06535911620791396,boruta,30,3,0.3,10
10000,4.328731846809387,0.035725071493739005,svm,30,3,0.3,10
