p,test_auc,pop_lim_auc,pop_full_auc,test_se,pop_lim_se,pop_full_se,auc_sd,auc_sd_se,bias_l,bias_l_se,bias_f,bias_f_se,n,sig_p,d,nsims
10,0.51005,0.51255573565,0.51573804005,0.006650229894079623,0.0013817462517256613,0.0016509990476927055,0.13300459788159247,0.004708311727185874,-0.002505735649999993,0.006471517511841811,-0.005688040049999955,0.006577712409318709,30,1,0.36,400
30,0.50645,0.50509917015,0.506981651,0.007309724614158669,0.0010352446136897182,0.0011942142146826392,0.14619449228317338,0.0051752289276468175,0.0013508298499999428,0.007281863962675552,-5.316510000000768e-4,0.007395612217152137,30,1,0.36,400
100,0.51245,0.5018798532,0.5025643936,0.00714055056742931,6.904928981466484e-4,7.097150191418423e-4,0.1428110113485862,0.00505545500090476,0.010570146800000001,0.007142940130454202,0.00988560639999998,0.007073630740369636,30,1,0.36,400
300,0.49720000000000003,0.50126875165,0.5010037512,0.007334841494495531,4.653664984745052e-4,3.8556541800861274e-4,0.14669682988991062,0.005193011486163426,-0.004068751649999991,0.007317645598320146,-0.0038037512000000076,0.007307278979088653,30,1,0.36,400
1000,0.4922,0.5001468691500001,0.5002037830999999,0.0077874585891801375,2.6159653242255364e-4,2.1841593359050172e-4,0.15574917178360276,0.00551346091554714,-0.007946869150000016,0.007795578043650624,-0.008003783099999955,0.007785237238034384,30,1,0.36,400
3000,0.5031,0.5007470079,0.5009918649,0.007672557941352319,3.4436977458526233e-4,3.457724294937572e-4,0.15345115882704638,0.005432112138701007,0.0023529920999999757,0.007644365416389513,0.0021081351000000106,0.007662787487769861,30,1,0.36,400
6000,0.49745,0.50004139,0.5001078016999999,0.007006351844249155,3.215787153897886e-4,1.588706142338818e-4,0.1401270368849831,0.004960443334814089,-0.002591390000000027,0.007034614163662087,-0.00265780169999995,0.007023446885689543,30,1,0.36,400
