p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.8679477124183007,0.008819965159468505,NA,NA,NA,0.08131606089949424,0.006273670301256719,fdr,NA,NA,30,3,1.3,100,no
100,0.6835746031746032,0.013283830330856986,NA,NA,NA,0.13283830330856986,0.009440407141616983,tweedie,NA,NA,30,3,1.3,100,no
100,0.7634,0.020565843999066497,NA,0.012336564799999825,0.013962441269774913,0.20565843999066497,0.014615508910195698,lasso,0.7510634352000002,0.014082777971341245,30,3,1.3,100,no
100,0.7000000000000001,0.018304413303674955,NA,0.00210309278350518,0.015155152164944749,0.18027756377319948,0.013010412496663331,boruta,0.6978969072164949,0.00844330870482049,30,3,1.3,100,no
100,0.684,0.01767952648024422,NA,0.010400000000000032,0.014787880992299888,0.1767952648024422,0.012564292368053506,svm,0.6736,0.01056966356507093,30,3,1.3,100,no
300,0.8912106135986733,0.010739390683617974,NA,NA,NA,0.08790570130037356,0.007651209213755385,fdr,NA,NA,30,3,1.3,100,no
300,0.6929661939257898,0.013956990183604965,NA,NA,NA,0.13887029892507358,0.009919307066076685,tweedie,NA,NA,30,3,1.3,100,no
300,0.6978,0.020902650742927513,NA,0.007296209199999207,0.013589225905027114,0.20902650742927514,0.014854867040410929,lasso,0.6905037908000008,0.014335141504203586,30,3,1.3,100,no
300,0.6505050505050506,0.01607635726084324,NA,0.008786868686868728,0.013448426162458296,0.15995773508976815,0.011425552506412012,boruta,0.6417181818181819,0.009163581126127229,30,3,1.3,100,no
300,0.621,0.017540429489230493,NA,0.005460000000000021,0.014726944659022082,0.17540429489230494,0.012465440440963385,svm,0.61554,0.009931547022625742,30,3,1.3,100,no
1000,0.8841607565011821,0.015292642880253086,NA,NA,NA,0.10484107751429735,0.010930437923503034,fdr,NA,NA,30,3,1.3,100,no
1000,0.7412440664460866,0.013630312383875541,NA,NA,NA,0.13561989585794948,0.009687135418424963,tweedie,NA,NA,30,3,1.3,100,no
1000,0.6044,0.021635324650378436,NA,-0.012128807200000353,0.016016237920815447,0.21635324650378437,0.0153755557134896,lasso,0.6165288072000004,0.01370125963873713,30,3,1.3,100,no
1000,0.5565656565656566,0.017238885452315247,NA,-0.02209696969696968,0.015533918604126914,0.17152474454773742,0.01225176746769553,boruta,0.5786626262626263,0.0074825733893233645,30,3,1.3,100,no
1000,0.554,0.013811135896350987,NA,-0.018384999999999988,0.013362273015902468,0.13811135896350987,0.009815146889289054,svm,0.572385,0.00575010204125531,30,3,1.3,100,no
3000,0.9189542483660131,0.008567283308875517,NA,NA,NA,0.049955416843564214,0.00614908674176839,fdr,NA,NA,30,3,1.3,100,no
3000,0.7789896431385793,0.014092257273586845,NA,NA,NA,0.1366295034613914,0.010018161254706528,tweedie,NA,NA,30,3,1.3,100,no
3000,0.5922000000000001,0.017781831608513658,NA,0.008498991599999822,0.013266761409608308,0.17781831608513657,0.01263699745683316,lasso,0.5837010084000002,0.01278440702167441,30,3,1.3,100,no
3000,0.5515151515151515,0.015882195954843414,NA,-0.013889898989898975,0.015312006389501295,0.15802585448734777,0.011287561034810555,boruta,0.5654050505050505,0.0071284328201016,30,3,1.3,100,no
3000,0.545,0.017078251276599333,NA,-0.012133999999999995,0.01676607241672385,0.17078251276599332,0.012136984687573654,svm,0.557134,0.0041002060110844835,30,3,1.3,100,no
10000,0.9270833333333334,0.010192022116087404,NA,NA,NA,0.040768088464349615,0.007443200559430143,fdr,NA,NA,30,3,1.3,100,no
10000,0.8141886005151311,0.012959774724304469,NA,NA,NA,0.12829522426287993,0.009211060297122703,tweedie,NA,NA,30,3,1.3,100,no
10000,0.5256,0.015647841688071536,NA,-0.012673407000000208,0.01361517883539148,0.15647841688071537,0.011120436857720122,lasso,0.5382734070000003,0.00962737890992396,30,3,1.3,100,no
10000,0.537,0.016121696278899776,NA,0.005004000000000006,0.014633026428755145,0.16121696278899778,0.011457190651763373,boruta,0.531996,0.005516839953334434,30,3,1.3,100,no
10000,0.505,0.01641476300299351,NA,-0.024635999999999995,0.01600421229400295,0.1641476300299351,0.011665464103485958,svm,0.529636,0.001979659964680192,30,3,1.3,100,no
