p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0,0,0,fdr,50,10,1.1,100,no
100,TRUE,0,0,0,tweedie,50,10,1.1,100,no
100,TRUE,0,0,0,lasso,50,10,1.1,100,no
100,TRUE,0,0,0,boruta,50,10,1.1,100,no
100,TRUE,0,0,0,svm,50,10,1.1,100,no
300,TRUE,0,0,0,fdr,50,10,1.1,100,no
300,TRUE,0,0,0,tweedie,50,10,1.1,100,no
300,TRUE,1,0.01,0.0099498743710662,lasso,50,10,1.1,100,no
300,TRUE,0,0,0,boruta,50,10,1.1,100,no
300,TRUE,0,0,0,svm,50,10,1.1,100,no
1000,TRUE,0,0,0,fdr,50,10,1.1,100,no
1000,TRUE,0,0,0,tweedie,50,10,1.1,100,no
1000,TRUE,5,0.05,0.021794494717703367,lasso,50,10,1.1,100,no
1000,TRUE,0,0,0,boruta,50,10,1.1,100,no
1000,TRUE,0,0,0,svm,50,10,1.1,100,no
3000,TRUE,9,0.09,0.02861817604250837,fdr,50,10,1.1,100,no
3000,TRUE,0,0,0,tweedie,50,10,1.1,100,no
3000,TRUE,5,0.05,0.021794494717703367,lasso,50,10,1.1,100,no
3000,TRUE,0,0,0,boruta,50,10,1.1,100,no
3000,TRUE,0,0,0,svm,50,10,1.1,100,no
10000,TRUE,20,0.2,0.04,fdr,50,10,1.1,100,no
10000,TRUE,0,0,0,tweedie,50,10,1.1,100,no
10000,TRUE,18,0.18,0.03841874542459709,lasso,50,10,1.1,100,no
10000,TRUE,0,0,0,boruta,50,10,1.1,100,no
10000,TRUE,0,0,0,svm,50,10,1.1,100,no
