p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,2,0.3651483716701107,0.8,0.12649110640673517,fdr,30,3,1.3,10,block
100,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,30,3,1.3,10,block
100,TRUE,2.4,0.22110831935702663,1,0,tweedie,30,3,1.3,10,block
100,FALSE,2.1,0.604611904907235,0.9,0.09486832980505137,tweedie,30,3,1.3,10,block
100,TRUE,1.3,0.3958114029012639,0.6,0.15491933384829668,lasso,30,3,1.3,10,block
100,FALSE,2.4,0.5811865258054231,0.8,0.12649110640673517,lasso,30,3,1.3,10,block
100,TRUE,2.4,0.22110831935702663,1,0,boruta,30,3,1.3,10,block
100,FALSE,2.5,0.40138648595974313,1,0,boruta,30,3,1.3,10,block
100,TRUE,1,0.2581988897471611,0.7,0.14491376746189438,svm,30,3,1.3,10,block
100,FALSE,1,0.2581988897471611,0.7,0.14491376746189438,svm,30,3,1.3,10,block
300,TRUE,1.1,0.27688746209726917,0.7,0.14491376746189438,fdr,30,3,1.3,10,block
300,FALSE,0,0,0,0,fdr,30,3,1.3,10,block
300,TRUE,2.2,0.3265986323710904,0.9,0.09486832980505137,tweedie,30,3,1.3,10,block
300,FALSE,2,0.3651483716701107,0.8,0.12649110640673517,tweedie,30,3,1.3,10,block
300,TRUE,1.2,0.38873012632302,0.6,0.15491933384829668,lasso,30,3,1.3,10,block
300,FALSE,3.8,1.3316656236958784,0.6,0.15491933384829668,lasso,30,3,1.3,10,block
300,TRUE,1.4,0.30550504633038933,0.8,0.12649110640673517,boruta,30,3,1.3,10,block
300,FALSE,4.2,0.5333333333333333,0.9,0.09486832980505137,boruta,30,3,1.3,10,block
300,TRUE,0.6,0.1632993161855452,0.6,0.15491933384829668,svm,30,3,1.3,10,block
300,FALSE,2.4,0.1632993161855452,1,0,svm,30,3,1.3,10,block
1000,TRUE,0.4,0.22110831935702663,0.3,0.14491376746189438,fdr,30,3,1.3,10,block
1000,FALSE,0,0,0,0,fdr,30,3,1.3,10,block
1000,TRUE,1.8,0.24944382578492943,0.9,0.09486832980505137,tweedie,30,3,1.3,10,block
1000,FALSE,1.7,0.2603416558635551,1,0,tweedie,30,3,1.3,10,block
1000,TRUE,0.7,0.2603416558635551,0.5,0.15811388300841897,lasso,30,3,1.3,10,block
1000,FALSE,1.7,0.9073771725877465,0.5,0.15811388300841897,lasso,30,3,1.3,10,block
1000,TRUE,1.1,0.2333333333333333,0.8,0.12649110640673517,boruta,30,3,1.3,10,block
1000,FALSE,4.6,0.8589399151150083,0.9,0.09486832980505137,boruta,30,3,1.3,10,block
1000,TRUE,1.4,0.22110831935702663,0.9,0.09486832980505137,svm,30,3,1.3,10,block
1000,FALSE,8.6,0.22110831935702663,1,0,svm,30,3,1.3,10,block
3000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,fdr,30,3,1.3,10,block
3000,FALSE,0,0,0,0,fdr,30,3,1.3,10,block
3000,TRUE,1.8,0.24944382578492943,1,0,tweedie,30,3,1.3,10,block
3000,FALSE,2.5,0.8333333333333333,0.8,0.12649110640673517,tweedie,30,3,1.3,10,block
3000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,lasso,30,3,1.3,10,block
3000,FALSE,2.1,1.0692676621563626,0.4,0.15491933384829668,lasso,30,3,1.3,10,block
3000,TRUE,0.5,0.16666666666666666,0.5,0.15811388300841897,boruta,30,3,1.3,10,block
3000,FALSE,8.1,0.8621678104251709,1,0,boruta,30,3,1.3,10,block
3000,TRUE,1.3,0.2603416558635551,0.9,0.09486832980505137,svm,30,3,1.3,10,block
3000,FALSE,28.7,0.2603416558635551,1,0,svm,30,3,1.3,10,block
