p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.05077437877655029,3.6156670631806286e-4,fdr,10,1,1.81,100,no
100,0.01381091594696045,1.6253709678370156e-4,tweedie,10,1,1.81,100,no
100,0.44006077527999876,0.004015488290575518,lasso,10,1,1.81,100,no
100,0.11601053953170776,0.0013063074346875065,boruta,10,1,1.81,100,no
100,0.7515395259857178,0.0032284796805474108,svm,10,1,1.81,100,no
300,0.14959819555282594,6.512556691571654e-4,fdr,10,1,1.81,100,no
300,0.020207059383392335,2.234015459438032e-4,tweedie,10,1,1.81,100,no
300,0.463035089969635,0.004247646307134654,lasso,10,1,1.81,100,no
300,0.28288855075836183,6.724350456949956e-4,boruta,10,1,1.81,100,no
300,1.4748941898345946,0.005279232050625442,svm,10,1,1.81,100,no
1000,0.4535981631278992,0.002705354137834775,fdr,10,1,1.81,100,no
1000,0.0377731990814209,2.0796155817817317e-4,tweedie,10,1,1.81,100,no
1000,0.5194318890571594,0.004268934452637139,lasso,10,1,1.81,100,no
1000,0.9272194480895997,0.0032825848336013744,boruta,10,1,1.81,100,no
1000,3.4369118857383727,0.014558736855962212,svm,10,1,1.81,100,no
3000,1.318856348991394,0.004909656636274849,fdr,10,1,1.81,100,no
3000,0.09908831834793091,5.058788208547388e-4,tweedie,10,1,1.81,100,no
3000,3.1222719144821167,0.009859647505816242,lasso,10,1,1.81,100,no
3000,2.8939626383781434,0.009824940724866641,boruta,10,1,1.81,100,no
3000,2.554779109954834,0.01047138754997676,svm,10,1,1.81,100,no
10000,4.548962028026581,0.025851085798858302,fdr,10,1,1.81,100,no
10000,0.32870624542236326,0.00404048398492036,tweedie,10,1,1.81,100,no
10000,4.582718458175659,0.03216786407330134,lasso,10,1,1.81,100,no
10000,11.811204986572266,0.0589837767344781,boruta,10,1,1.81,100,no
10000,3.7838161516189577,0.04578681729479412,svm,10,1,1.81,100,no
