p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,15,0.15,0.035707142142714254,fdr,30,3,1.3,100,no
100,TRUE,0,0,0,tweedie,30,3,1.3,100,no
100,TRUE,13,0.13,0.03363034344160047,lasso,30,3,1.3,100,no
100,TRUE,0,0,0,boruta,30,3,1.3,100,no
100,TRUE,0,0,0,svm,30,3,1.3,100,no
300,TRUE,33,0.33,0.04702127178203499,fdr,30,3,1.3,100,no
300,TRUE,1,0.01,0.0099498743710662,tweedie,30,3,1.3,100,no
300,TRUE,19,0.19,0.039230090491866064,lasso,30,3,1.3,100,no
300,TRUE,0,0,0,boruta,30,3,1.3,100,no
300,TRUE,0,0,0,svm,30,3,1.3,100,no
1000,TRUE,53,0.53,0.04990991885387112,fdr,30,3,1.3,100,no
1000,TRUE,1,0.01,0.0099498743710662,tweedie,30,3,1.3,100,no
1000,TRUE,26,0.26,0.04386342439892262,lasso,30,3,1.3,100,no
1000,TRUE,0,0,0,boruta,30,3,1.3,100,no
1000,TRUE,0,0,0,svm,30,3,1.3,100,no
3000,TRUE,66,0.66,0.04737087712930804,fdr,30,3,1.3,100,no
3000,TRUE,6,0.06,0.023748684174075833,tweedie,30,3,1.3,100,no
3000,TRUE,42,0.42,0.04935585071701227,lasso,30,3,1.3,100,no
3000,TRUE,0,0,0,boruta,30,3,1.3,100,no
3000,TRUE,0,0,0,svm,30,3,1.3,100,no
10000,TRUE,84,0.84,0.036660605559646724,fdr,30,3,1.3,100,no
10000,TRUE,2,0.02,0.014,tweedie,30,3,1.3,100,no
10000,TRUE,32,0.32,0.0466476151587624,lasso,30,3,1.3,100,no
10000,TRUE,0,0,0,boruta,30,3,1.3,100,no
10000,TRUE,0,0,0,svm,30,3,1.3,100,no
