p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,10,0,1,0,fdr,50,10,1.81,100
100,FALSE,0.59,0.08176709965419213,0.42,0.04935585071701227,fdr,50,10,1.81,100
100,TRUE,9.48,0.06587407638361194,1,0,tweedie,50,10,1.81,100
100,FALSE,44.06,1.398832124713796,1,0,tweedie,50,10,1.81,100
100,TRUE,8.15,0.11752927853573898,1,0,lasso,50,10,1.81,100
100,FALSE,3.34,0.19603133124141872,0.95,0.021794494717703377,lasso,50,10,1.81,100
100,TRUE,9.6,0.06195469181897234,1,0,boruta,50,10,1.81,100
100,FALSE,0.78,0.07859884081701064,0.59,0.04918333050943175,boruta,50,10,1.81,100
100,TRUE,1.99,0.01,1,0,svm,50,10,1.81,100
100,FALSE,0.01,0.01,0.01,0.0099498743710662,svm,50,10,1.81,100
300,TRUE,9.97,0.01714466079977653,1,0,fdr,50,10,1.81,100
300,FALSE,0.59,0.09221735413706253,0.4,0.04898979485566356,fdr,50,10,1.81,100
300,TRUE,9.35,0.06092717958449424,1,0,tweedie,50,10,1.81,100
300,FALSE,18.72,1.764239613584678,0.82,0.0384187454245971,tweedie,50,10,1.81,100
300,TRUE,8,0.1119162746219357,1,0,lasso,50,10,1.81,100
300,FALSE,5.45,0.2362907813126304,0.99,0.009949874371066205,lasso,50,10,1.81,100
300,TRUE,9.37,0.07199186261535592,1,0,boruta,50,10,1.81,100
300,FALSE,1.83,0.11725393318982884,0.92,0.027129319932501065,boruta,50,10,1.81,100
300,TRUE,2.92,0.027265992434429075,1,0,svm,50,10,1.81,100
300,FALSE,0.08,0.027265992434429075,0.08,0.027129319932501072,svm,50,10,1.81,100
1000,TRUE,9.97,0.01714466079977653,1,0,fdr,50,10,1.81,100
1000,FALSE,0.63,0.08122173167921068,0.45,0.049749371855331,fdr,50,10,1.81,100
1000,TRUE,9.85,0.03859920970562726,1,0,tweedie,50,10,1.81,100
1000,FALSE,1.52,0.1298639536770942,0.76,0.04270831300812525,tweedie,50,10,1.81,100
1000,TRUE,8,0.0984731927834662,1,0,lasso,50,10,1.81,100
1000,FALSE,6.99,0.26533569360911524,1,0,lasso,50,10,1.81,100
1000,TRUE,8.88,0.1027697239541693,1,0,boruta,50,10,1.81,100
1000,FALSE,3.17,0.16021135030851205,0.97,0.017058722109231986,boruta,50,10,1.81,100
1000,TRUE,7.39,0.10530858934530929,1,0,svm,50,10,1.81,100
1000,FALSE,2.61,0.10530858934530929,1,0,svm,50,10,1.81,100
3000,TRUE,9.87,0.03666666666666667,1,0,fdr,50,10,1.81,100
3000,FALSE,0.43,0.07142842712828137,0.33,0.04702127178203499,fdr,50,10,1.81,100
3000,TRUE,9.95,0.021904291355759033,1,0,tweedie,50,10,1.81,100
3000,FALSE,1.86,0.15636011271575895,0.83,0.037563279941985904,tweedie,50,10,1.81,100
3000,TRUE,7.58,0.11907047399661168,1,0,lasso,50,10,1.81,100
3000,FALSE,9.14,0.29576813195269686,1,0,lasso,50,10,1.81,100
3000,TRUE,8.42,0.08896713727636466,1,0,boruta,50,10,1.81,100
3000,FALSE,4.36,0.19149597142161262,1,0,boruta,50,10,1.81,100
3000,TRUE,9.48,0.06432242017658957,1,0,svm,50,10,1.81,100
3000,FALSE,20.52,0.06432242017658957,1,0,svm,50,10,1.81,100
10000,TRUE,9.68,0.0649475312708791,1,0,fdr,50,10,1.81,100
10000,FALSE,0.5,0.07587869106393282,0.36,0.048,fdr,50,10,1.81,100
10000,TRUE,9.87,0.03666666666666667,1,0,tweedie,50,10,1.81,100
10000,FALSE,2.42,0.1918437916744777,0.84,0.036660605559646724,tweedie,50,10,1.81,100
10000,TRUE,7.11,0.12862520921049825,1,0,lasso,50,10,1.81,100
10000,FALSE,11.09,0.28144468570415593,1,0,lasso,50,10,1.81,100
10000,TRUE,7.42,0.14851453011933097,1,0,boruta,50,10,1.81,100
10000,FALSE,6.06,0.2223928637762144,1,0,boruta,50,10,1.81,100
10000,TRUE,9.51,0.06741249472052227,1,0,svm,50,10,1.81,100
10000,FALSE,90.49,0.06741249472052227,1,0,svm,50,10,1.81,100
